key,value,reference value,description
gift_order_confirmed.gift_receiver.email,Имейл на получателя,Recipient email,
contract_is_renewed.contract_term.contract_period,Период на договора,Contract Period,
subscription_pause_reminder.subscription.resume_date,Дата на възобновяване,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Очаквана такса при подновяване,Estimated charge on renewal,
credit_note_updated.credit_note.id,Номер на кредитната бележка,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Начин на плащане,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,Период на договора,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,Дата за плащане,Payment date,
payment_one_time_failures.transaction.amount,Фактурирана сума,Invoiced amount,
subscription_paused.subscription.resume_date,Дата на възобновяване,Resume date,
payments_and_credits_refunded.transaction.date,Възстановено на,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,Фактурирана сума,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Уведомете за,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
gift_cancelled.gift.scheduled_at,Уведомете за,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Очаквана такса при активиране,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,Дата за плащане,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,Следващо подновяване на,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,Излишни плащания,Excess payments,
credit_note_adjustment_created.credit_note.status,Статус на кредитната бележка,Credit note status,
contract_is_renewed.contract_term.total_contract_value,Обща стойност на договора,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Фактурирана сума,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,Възстановено на,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Възстановими кредити,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
order_shipment_reminder.order.shipping_date,Дата на изпращане,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Причина за анулиране,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,Обща стойност на договора,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Начин на плащане,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Очаквана такса при активиране,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Дата на възобновяване,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payment_terms_netd_reminders.invoice.amount,Фактурирана сума,Invoiced amount,
payment_one_time_failures.invoice.due_date,Дължи се от,Due since,
welcome_mails_in_future_state.subscription.start_date,Абонаментът започва на,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,Опит за предишно таксуване,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,Причина за неуспех,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,Следващо подновяване на,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,Неплатена една или повече фактури,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,Фактурирана сума,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,Излишни плащания,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,Начин на плащане,Payment method,
contract_is_terminated.contract_term.total_contract_value,Обща стойност на договора,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,Очаквана такса при следващо подновяване,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,Фактурирана сума,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,Дата на пауза,Pause date,
payment_authorization_succeeded.transaction.amount,Разрешена сума,Authorized amount,
payment_dunning_profile_for_initial_attempt.transaction.amount,Фактурирана сума,Invoiced amount,
payment_one_time_failures.customer_payment_method.info,Начин на плащане,Payment method,
subscription_paused.subscription.pause_date,Дата на пауза,Pause date,
payment_authorization_succeeded.customer_payment_method.info,Начин на плащане,Payment method,
credit_note_updated.credit_note.status,Статус на кредитната бележка,Credit note status,
subscription_changed_coupon_applied.coupon.coupons,Купони,Coupons,
payment_method_expiry_invalidated_notification.customer_payment_method.info,Начин на плащане,Payment method,
direct_debit_payment_reminder_for_pad.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
welcome_mails_in_trial_state.subscription.trial_end,Пробният период приключва на,Trial ends on,
welcome_mails_in_active_state.subscription.next_estimate_amount,Очаквана такса при следващо подновяване,Estimated charge on next renewal,
invoice_receipt.invoice.amount_due,"Сума, дължима",Amount due,
trial_expiry_reminders.subscription.next_estimate_amount,Очаквана такса при активиране,Estimated charge on activation,
trial_extension_notification.subscription.trial_end,Пробният период приключва на,Trial ends on,
contract_is_renewed.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
subscription_expiry_and_cancellations_cancellation_followups.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
future_subscription_reminders.subscription.start_date,Абонаментът започва на,Subscription starts on,
trial_started_for_future_subscriptions.subscription.trial_end,Пробният период приключва на,Trial ends on,
payments_and_credits_payment_initiated.transaction.amount,Фактурирана сума,Invoiced amount,
subscription_expiry_and_cancellations_reminder.customer_balance.account_credits,Промоционални кредити,Promotional credits,
payment_offline_payments_profile_for_renewal_invoices.invoice.due_date,Дължи се от,Due since,
contract_is_terminated.contract_term.contract_period,Период на договора,Contract Period,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.date,Опит за предишно таксуване,Previous charge attempted on,
gift_cancelled.gift_receiver.email,Имейл на получателя,Recipient email,
order_shipment_reminder.order.id,Идентификационен номер на поръчката,Order ID,
contract_is_renewed.contract_term.billing_cycle,Общ цикъл на фактуриране,Total Billing Cycles,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.amount,Фактурирана сума,Invoiced amount,
credit_note_adjustment_created.credit_note.reason_code,Причина за кредитната бележка,Credit note reason,
subscription_renewal_reminders.subscription.next_renewal_on,Дата на подновяване,Renewal date,
credit_note_adjustment_created.credit_note.total,Кредитна бележка,Credit note amount,
trial_expired_notification.subscription.cancelled_at,Пробният срок изтече на,Trial expired on,
contract_and_subscription_ends.contract_term.contract_period,Период на договора,Contract Period,
payment_one_time_failures.transaction.payment_failure_reason,Причина за неуспех,Failure reason,
payment_terms_netd_reminders.invoice.due_date,Дължимо на,Due on,
contract_is_terminated.contract_term.billing_cycle,Общ цикъл на фактуриране,Total Billing Cycles,
credit_note_adjustment_created.credit_note.id,Номер на кредитната бележка,Credit note number,
payment_offline_payments_profile_for_one_time_invoices.invoice.amount_due,Фактурирана сума,Invoiced amount,
contract_ends_and_subscription_continues.contract_term.action_at_term_end,В края на срока,At Term-End,
subscription_expiry_and_cancellations_expired.customer_invoice_summary.not_paid_due_invoice_count,Неплатена една или повече фактури,Unpaid invoices,
subscription_activated_from_trial_state.subscription.next_renewal_on,Следващо подновяване на,Next renewal on,
subscription_activated_from_future_state.invoice.amount,Фактурирана сума,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.customer_payment_method.info,Начин на плащане,Payment method,
subscription_reactivation.subscription.next_renewal_on,Следващо подновяване на,Next renewal on,
payment_offline_payments_profile_for_one_time_invoices.invoice.due_date,Дължи се от,Due since,
subscription_activated_from_future_state.invoice.status,Състояние на фактурата,Invoice status,
welcome_mails_in_non_renewal_state.subscription.cancelled_at,Абонаментът изтича на,Subscription expires on,
contract_ends_and_subscription_continues.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
welcome_mails_in_trial_state.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
contract_and_subscription_ends.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
contract_is_terminated.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
gift_cancelled.customer_payment_method.info,Начин на плащане,Payment method,
payments_and_credits_successful_recurring_payments.invoice.number_of_invoices,Брой на една или повече фактури,Number of invoices,
subscription_expiry_and_cancellations_reminder.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payments_and_credits_refunded.customer_payment_method.info,Възстановено чрез,Refunded via,
payment_one_time_failures.transaction.date,Опит за предишно таксуване,Previous charge attempted on,
subscription_changed_all_other_changes.customer_balance.refundable_credits,Възстановими кредити,Refundable credits,
subscription_expiry_and_cancellations_expired.subscription.cancel_reason,Причина за анулиране,Cancellation reason,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_total_amount,"Сума, дължима",Amount due,
subscription_activated_from_trial_state.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
subscription_activated_from_trial_state.subscription.next_estimate_amount,Очаквана такса при следващо подновяване,Estimated charge on next renewal,
subscription_expiry_and_cancellations_expired.customer_balance.account_credits,Промоционални кредити,Promotional credits,
contract_is_terminated.contract_term.termination_fee,Такса за прекратяване,Termination fee,
gift_order_confirmed.customer_payment_method.info,Начин на плащане,Payment method,
payment_dunning_profiles_for_one_time_invoices.customer_payment_method.info,Начин на плащане,Payment method,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.invoice.due_date,Дължи се от,Due since,
direct_debit_payment_reminder_for_sepa.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
trial_expired_notification.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payment_dunning_profiles_for_auto_recurring_invoices.transaction.amount,Фактурирана сума,Invoiced amount,
payments_and_credits_refund_initiated.transaction.amount,Сума за възстановяване,Refund amount,
subscription_changed_all_other_changes.customer_payment_method.info,Начин на плащане,Payment method,
payment_dunning_profile_for_initial_attempt.customer_payment_method.info,Начин на плащане,Payment method,
subscription_renewal_reminders.subscription.next_estimate_amount,Очаквана такса при подновяване,Estimated charge on renewal,
credit_note_refundable_created.credit_note.reason_code,Причина за кредитната бележка,Credit note reason,
direct_debit_payment_reminder_for_becs_nz.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
subscription_renewal_reminders.customer_payment_method.info,Начин на плащане,Payment method,
trial_extension_notification.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payment_method_status_invalidated_notification.customer_payment_method.info,Информация за начина на плащане,Payment method info,
subscription_changed_all_other_changes.invoice.amount,Фактурирана сума,Invoiced amount,
payment_dunning_profiles_for_one_time_invoices.transaction.payment_failure_reason,Причина за неуспех,Failure reason,
contract_and_subscription_ends.contract_term.action_at_term_end,В края на срока,At Term-End,
direct_debit_payment_reminder_for_becs.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
subscription_activated_from_future_state.subscription.next_estimate_amount,Очаквана такса при следващо подновяване,Estimated charge on next renewal,
payments_and_credits_refunded.transaction.amount,Сума за възстановяване,Refund amount,
welcome_mails_in_future_state.subscription.next_estimate_amount,Очаквана такса при активиране,Estimated charge on activation,
payment_terms_netd_invoice_posted.invoice.due_date,Дължимо на,Due on,
contract_ends_and_subscription_continues.contract_term.billing_cycle,Общ цикъл на фактуриране,Total Billing Cycles,
subscription_expiry_and_cancellations_expired.customer_balance.refundable_credits,Възстановими кредити,Refundable credits,
payments_and_credits_successful_recurring_payments.customer_payment_method.info,Начин на плащане,Payment method,
credit_note_refundable_created.credit_note.id,Номер на кредитната бележка,Credit note number,
direct_debit_payment_reminder_for_gocardless_sepa.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
welcome_mails_in_non_renewal_state.invoice.amount,Фактурирана сума,Invoiced amount,
contract_is_renewed.contract_term.action_at_term_end,В края на срока,At Term-End,
contract_and_subscription_ends.contract_term.billing_cycle,Общ цикъл на фактуриране,Total Billing Cycles,
trial_extension_notification.subscription.next_estimate_amount,Очаквана такса при активиране,Estimated charge on activation,
payment_method_expiry_invalidated_followups.customer_payment_method.info,Начин на плащане,Payment method,
subscription_reactivation.invoice.amount,Фактурирана сума,Invoiced amount,
trial_started_for_future_subscriptions.subscription.next_estimate_amount,Очаквана такса при активиране,Estimated charge on activation,
contract_ends_and_subscription_continues.contract_term.total_contract_value,Обща стойност на договора,Total Contract Value,
welcome_mails_for_customer.customer.id,ID,ID,
gift_order_confirmed.invoice.amount,Фактурирана сума,Invoiced amount,
payments_and_credits_refund_initiated.transaction.description,Причина за възстановяване на сумата,Refund reason,
subscription_activated_from_trial_state.invoice.amount,Фактурирана сума,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.transaction.payment_failure_reason,Причина за неуспех,Failure reason,
credit_note_refundable_created.credit_note.status,Статус на кредитната бележка,Credit note status,
gift_cancelled.invoice.amount,Фактурирана сума,Invoiced amount,
payments_and_credits_successful_recurring_payments.transaction.amount,Фактурирана сума,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.invoice.due_date,Дължи се от,Due since,
subscription_activated_from_trial_state.invoice.status,Състояние на фактурата,Invoice status,
welcome_mails_in_non_renewal_state.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
subscription_expiry_and_cancellations_cancellation_followups.customer_invoice_summary.not_paid_due_total_amount,"Сума, дължима",Amount due,
payments_and_credits_successful_payment.invoice.number_of_invoices,Брой на една или повече фактури,Number of invoices,
credit_note_refundable_created.credit_note.total,Кредитна бележка,Credit note amount,
credit_note_updated.credit_note.total,Кредитна бележка,Credit note amount,
payment_dunning_profile_for_initial_attempt.invoice.due_date,Дължи се от,Due since,
subscription_reactivation.invoice.status,Състояние на фактурата,Invoice status,
invoice_receipt.invoice.status,Състояние,Status,
direct_debit_payment_reminder_for_ach.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
welcome_mails_in_active_state.customer_payment_method.info,Начин на плащане,Payment method,
subscription_expiry_and_cancellations_reminder.customer_balance.refundable_credits,Възстановими кредити,Refundable credits,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.account_credits,Промоционални кредити,Promotional credits,
trial_expiry_reminders.subscriptions.subscribed_to,Обобщение на абонамента,Subscription summary,
payments_and_credits_successful_payment.customer_payment_method.info,Начин на плащане,Payment method,
subscription_changed_all_other_changes.customer_balance.account_credits,Промоционални кредити,Promotional credits,
payments_and_credits_refund_initiated.customer_payment_method.info,Възстановено чрез,Refunded via,
subscription_expiry_and_cancellations_cancellation_followups.customer_invoice_summary.not_paid_due_invoice_count,Неплатена една или повече фактури,Unpaid invoices,
subscription_activated_from_future_state.customer_payment_method.info,Начин на плащане,Payment method,
payment_dunning_profile_for_initial_attempt.transaction.date,Опит за предишно таксуване,Previous charge attempted on,
payment_method_expiry_invalidated_reminders.customer_payment_method.info,Начин на плащане,Payment method,
subscription_expiry_and_cancellations_cancellation_followups.subscription.cancelled_at,Дата на анулиране,Cancellation date,
payments_and_credits_successful_payment.transaction.date,Дата за плащане,Payment date,
subscription_expiry_and_cancellations_cancellation_followups.subscription.cancel_reason,Причина за анулиране,Cancellation reason,
payment_authorization_succeeded.transaction.date,Дата за плащане,Payment date,
subscription_expiry_and_cancellations_reminder.subscription.cancelled_at,Дата на анулиране,Cancellation date,
welcome_mails_in_active_state.invoice.amount,Фактурирана сума,Invoiced amount,
direct_debit_payment_reminder_for_autogiro.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
payments_and_credits_refunded.transaction.description,Причина за възстановяване на сумата,Refund reason,
subscription_expiry_and_cancellations_expired.subscription.cancelled_at,Дата на анулиране,Cancellation date,
subscription_resumed.subscription.status,Състояние на абонамента,Subscription Status,
subscription_expiry_and_cancellations_expired.customer_invoice_summary.not_paid_due_total_amount,"Сума, дължима",Amount due,
direct_debit_payment_reminder_for_bacs.transaction.statement_descriptor,Плащанията ще се появят в банковото Ви извлечение като,Payments will appear in your bank statement as ,
trial_expiry_reminders.subscription.trial_end,Пробният период приключва на,Trial ends on,
subscription_activated_from_trial_state.customer_payment_method.info,Начин на плащане,Payment method,
order_shipment_reminder.order.amount,Сума на поръчката,Order amount,
future_subscription_reminders.subscription.next_estimate_amount,Очаквана такса при активиране,Estimated charge on activation,
subscription_resumed.subscription.next_renewal_on,Следваща дата за фактуриране,Next Billing Date,
subscription_expiry_and_cancellations_reminder.customer_balance.unused_payments,Излишни плащания,Excess payments,
subscription_expiry_and_cancellations_expired.customer_balance.unused_payments,Излишни плащания,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.payment_failure_reason,Причина за неуспех,Failure reason,
credit_note_updated.credit_note.reason_code,Причина за кредитната бележка,Credit note reason,
subscription_reactivation.customer_payment_method.info,Начин на плащане,Payment method,
subscription_changed_all_other_changes.subscription.sub_change_total_amount_due,Обща дължима сума,Total amount due,
invoice_receipt.invoice.amount,Фактурирана сума,Invoiced amount,
payment_dunning_profiles_for_auto_recurring_invoices.transaction.date,Опит за предишно таксуване,Previous charge attempted on,
payment_dunning_profiles_for_one_time_invoices.invoice.due_date,Дължи се от,Due since,
