key,value,reference value,description
not_supported_for_moved_out_resource,"Операциите по актуализиране не се поддържат, тъй като преместихме този клиент на сайта {0}",The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,За съжаление удостоверяването не бе успешно. Параметърът _jsapi_key не присъства в заявката,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} ресурс с идентификатор {1} не съществува.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} не е намерен,{0} not found,When resource is not found.
tos_not_agreed,"Съгласието с условията е задължително, за да завършите плащане.",Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} ресурс с идентификатор {1} вече съществува.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,За съжаление удостоверяването не бе успешно. Невалиден api ключ,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,"За съжаление, удостоверяването е неуспешно. Основният заглавие за удостоверяване има невалиден формат.","Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Този API не е разрешен за този клиент,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} ресурс вече е налице,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Операцията не се поддържа за клиенти с неотменени абонаменти.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,"Стойността, която вече е налице в {0}",The value already present in {0},The value already present in {0}
api_disabled,Сайтът не е активиран,The site is not enabled,The site is not enabled
param_not_supported_in_browser,За съжаление параметърът не се поддържа от браузъра.,"Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,{0} Посоченият в параметър {1} липсва,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,За съжаление удостоверяването не бе успешно. Заглавката за оторизация за основно удостоверяване не присъства в заявката,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"За съжаление, моля, активирайте настройката на сайта за управление на поръчки, за да използвате този API.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"За съжаление, достигнато е ограничението за заявки за API. Моля, опитайте след {0} мин.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"За съжаление, достигнато е ограничението за заявки за библиотека js. Моля, опитайте след известно време.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,"Този URL адрес вече не е валиден. Моля, свържете се с нас за съдействие.",This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,"Операциите по актуализиране вече не са възможни за този ресурс. Моля, свържете се с нас за съдействие.",The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"За съжаление, {0} ресурсът {1} вече е насрочен за изтриване","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"Операцията не се поддържа за клиенти, които вече са планирани за PII clear.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
