key,value,reference value,description
invalid_charge_start_and_end,Измина невалиден срок. line_item.date_from трябва да бъде преди line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to
xero_build_inprogress,"Интеграцията на Xero временно е деактивирана за поддръжка. Това трябва да приключи след няколко минути. Моля, опитайте след известно време.",Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.
invalid_invoice_amount,Сумата на фактурата {0} трябва да е по-голяма от нула,Invoice Amount {0} should be greater than zero,Invoice Amount {0} should be greater than zero
record_payment_not_supported,{0},{0},{0}
max_size_reached,Превишен максимален лимит за възстановяване на плащания с карта,Exceeded maximum limit of card payments to refund,Exceeded maximum limit of card payments to refund
recurring_addon_not_supported,Повтаряща се добавка не може да бъде добавена към чакаща фактура.,Recurring addon cannot be added to pending invoice.,Recurring addon cannot be added to pending invoice.
hp_product_type_mismatch,"За съжаление не можем да обработим заявката ви. Моля, свържете се с продавача / търговеца.","Sorry, we are unable process your request. Please get in touch with the seller/merchant.","Sorry, we are unable process your request. Please get in touch with the seller/merchant."
invalid_payment_amount,{0},{0},{0}
refund_amount_too_big,Посочената сума е по-голяма от допустимия лимит „{0}“,Specified amount is greater than the allowed limit ''{0}'' ,The refund amount is greater than the invoice amount
invalid_invoice_state,{0},{0},{0}
xero_disabled,"Интеграцията на Xero е деактивирана за вашия сайт. Моля, свържете се с support@chargebee.com за допълнителни подробности и съдействие.",Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.
no_card_present_for_refund,"Не може да се обработи заявката, тъй като методът на плащане, използван за тази транзакция, е изчистен.",Cannot process request as the payment method used for this transaction has been cleared.,Cannot process request as the payment method used for this transaction has been cleared.
insufficient card payments,"Операцията не може да продължи, тъй като клиентите са длъжни да възстановят плащания с различни карти",Operation cannot be proceed since customers different card payments are required to refund,Operation cannot be proceed since customers different card payments are required to refund
invoice_price_type,Всички линии трябва да бъдат от един и същ тип цена (без данъци / с включен данък).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).
referenced_line_item_not_found,Реферираната позиция за таксуване {0} не е прикрепена към фактура {1},The referenced charge line item {0} is not attached to invoice {1},The referenced charge line item {0} is not attached to invoice {1}
refund_failed,Операцията по възстановяване на сумата не бе успешна. Съобщение за грешка: {0},Refund operation failed. Error message: {0},Refund operation failed. Error message: {0}
operation_failed,{0},{0},{0}
product_type_mismatch,"Не можете да таксувате цифрови и недигитални продукти, като използвате една и съща фактура.",You cannot bill both digital and non-digital products using the same invoice.,You cannot bill both digital and non-digital products using the same invoice.
invoice.operation_not_suppoerted,{0},{0},{0}
address_change_not_supported,"Адресът не може да бъде променен, тъй като променя прилагания данък",Address cannot be changed as it changes the applied tax,Address cannot be changed as it changes the applied tax
