key,value,reference value,description
line_item.coupon.non_discount_all, %{coupon_details} от %{disc_amt} е приложен върху договорени покупки %{line_items}.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular, %{coupon_details} от %{disc_amt} е приложен върху договорена покупка %{line_items}.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} е приложен върху договорена покупка %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Добавени остатъци от кредити,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Пропорционални такси,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} се прилага за %{line_items} договорени покупки - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Пропорционални кредити за %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity,Безплатно количество , Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} се прилага върху договорени покупки %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing,%{amount} за %{unit} единици,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,Общо единици - %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,Допълнителни кредити премахнати,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,<b> %{coupon_details} %{disc_amt} отстъпка </b> кандидатства за %{line_item_desc}.,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Такса за настройка,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Пропорционални кредити,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Върнати промоционални кредити,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Промоционални кредити,Promotional Credits,promotional credits given for a line item
cn.discount.text,"Отстъпки или кредити, приложени към тази фактура",Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Върнати пропорционални кредити,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Дробна корекция,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} от %{disc_amt} приложени към договорени покупки %{line_items}.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,единици,units,units
