key,value,reference value,description
account.first_name.label,Първо име,First Name,
account.first_name.help,,,
account.last_name.label,Фамилия,Last Name,
account.last_name.help,,,
account.email.label,електронна поща,Email,
account.email.help,,,
account.company.label,Търговско дружество,Company,
account.company.help,,,
account.phone.label,Телефон,Phone,
account.phone.help,,,
billing.first_name.label,Първо име,First Name,
billing.first_name.help,,,
billing.last_name.label,Фамилия,Last Name,
billing.last_name.help,,,
billing.email.label,електронна поща,Email,
billing.email.help,,,
billing.phone.label,Телефон,Phone,
billing.phone.help,,,
billing.company.label,Търговско дружество,Company,
billing.company.help,,,
billing.line1.label,Адресна линия1,Address Line1,
billing.line1.help,,,
billing.line2.label,Адресна линия2,Address Line2,
billing.line2.help,,,
billing.line3.label,Адресна линия 3,Address Line3,
billing.line3.help,,,
billing.city.label,Град,City,
billing.city.help,,,
billing.zip.label,Цип,Zip,
billing.zip.help,,,
billing.country.label,Страна,Country,
billing.country.help,,,
billing.region.label,Щат,State,
billing.region.help,,,
billing.state_code.label,Щат,State,
billing.state_code.help,,,
tax.vat_number.label,ДДС номер,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Регистрирах се за GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Първо име,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Фамилия,Last Name,
shipping.last_name.help,,,
shipping.email.label,електронна поща,Email,
shipping.email.help,,,
shipping.phone.label,Телефон,Phone,
shipping.phone.help,,,
shipping.company.label,Търговско дружество,Company,
shipping.company.help,,,
shipping.line1.label,Адресна линия 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Адресна линия2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Адресна линия 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Град,City,
shipping.city.help,,,
shipping.zip.label,Цип,Zip,
shipping.zip.help,,,
shipping.country.label,Страна,Country,
shipping.country.help,,,
shipping.region.label,Щат,State,
shipping.region.help,,,
shipping.state_code.label,Щат,State,
shipping.state_code.help,,,
gift.first_name.label,Първо име,First Name,
gift.first_name.help,,,
gift.last_name.label,Фамилия,Last Name,
gift.last_name.help,,,
gift.email.label,електронна поща,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,"От кого да кажем, че е",Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Дата,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Време,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Първо име,First Name,
card.first_name.help,,,
card.last_name.label,Фамилия,Last Name,
card.last_name.help,,,
card.number.label,Брой,Number,
card.number.help,,,
card.expiry.label,Срок на годност,Expiry,
card.expiry.help,,,
card.expiry_year.label,Срок на годност,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Адресна линия1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Адресна линия2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Град,City,
card.billing_city.help,,,
card.billing_zip.label,Цип,Zip,
card.billing_zip.help,,,
card.billing_country.label,Страна,Country,
card.billing_country.help,,,
card.billing_region.label,Щат,State,
card.billing_region.help,,,
card.billing_state_code.label,Щат,State,
card.billing_state_code.help,,,
