key,value,reference value,description
cbjs_grp.bank,Банка,Bank,Bank
cbjs_grp.select_bank,Изберете Банка,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Извличане на списък на поддържаните банки,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Добавете данните за вашия акаунт,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Редактиране на подробности за акаунта,Editing account details,Editing account details
inapp_checkout.customer.update,Актуализиране,Update,Update
inapp_checkout.customer.next,Следващия,Next,Next
inapp_checkout.billing_address.header,Добавете адреса си за фактуриране,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Редактиране на адрес за фактуриране,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Актуализиране,Update,Update
inapp_checkout.billing_address.next,Следващия,Next,Next
inapp_checkout.shipping_address.header,Добавете адреса си за доставка,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Редактиране на адрес за доставка,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Актуализиране,Update,Update
inapp_checkout.shipping_address.next,Следващия,Next,Next
inapp_checkout.choose_sa.header,Изберете адрес за доставка,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Изпратете до адреса ми за фактуриране,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Добави нов,Add New,Add New
inapp_checkout.payment_method.choose.add,Добавете начин на плащане,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Добавете данните си за плащане,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Редактиране на данните за плащане,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Избери метод на плащане,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Изберете различен начин на плащане,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Актуализиране,Update,Update
inapp_checkout.payment_method.next,Следващия,Next,Next
inapp_checkout.subscription.header,Добавете данните за абонамента си,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Добавете данните за покупката си,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Редактиране на подробности за абонамента,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Редактиране на подробности за покупката,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Актуализиране,Update,Update
inapp_checkout.invoice.update,Актуализиране,Update,Update
inapp_checkout.subscription.next,Следващия,Next,Next
inapp_checkout.invoice.next,Следващия,Next,Next
inapp_checkout.review.header,Попълнете поръчката си,Complete your order,Complete your order
inapp_checkout.pay_review.header,Попълнете поръчката си,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Платете %{amount} и се абонирайте,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Абонирай се,Subscribe,Subscribe
inapp_checkout.review.order.header,Резюме на поръчката,Order summary,Order summary
inapp_checkout.review.account.header,Сметка,Account,Account
inapp_checkout.review.billing.header,Таксуване,Billing,Billing
inapp_checkout.review.shipping.header,Доставка,Shipping,Shipping
