key,value,reference value,description
gift_order_confirmed.gift_receiver.email,Příjemce e-mailu,Recipient email,
contract_is_renewed.contract_term.contract_period,Období smlouvy,Contract Period,
subscription_pause_reminder.subscription.resume_date,Obnovit datum,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Odhadovaný poplatek při obnovení,Estimated charge on renewal,
credit_note_updated.credit_note.id,Číslo dobropisu,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Způsob platby,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,Období smlouvy,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,Datum splatnosti,Payment date,
payment_one_time_failures.transaction.amount,Fakturovaná částka,Invoiced amount,
subscription_paused.subscription.resume_date,Obnovit datum,Resume date,
payments_and_credits_refunded.transaction.date,Vráceno dne,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,Fakturovaná částka,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Upozornit na,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
gift_cancelled.gift.scheduled_at,Upozornit na,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Odhadovaný poplatek při aktivaci,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,Datum splatnosti,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,Další obnovení zapnuto,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,Nadměrné platby,Excess payments,
credit_note_adjustment_created.credit_note.status,Stav dobropisu,Credit note status,
contract_is_renewed.contract_term.total_contract_value,Celková hodnota smlouvy,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Fakturovaná částka,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,Vráceno dne,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Vratné kredity,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,Souhrn předplatného,Subscription summary,
order_shipment_reminder.order.shipping_date,Datum odeslání,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Důvod zrušení,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,Celková hodnota smlouvy,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Způsob platby,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Odhadovaný poplatek při aktivaci,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Obnovit datum,Resume date,
