key,value,reference value,description
exceeded_allowed_coupon_code_limit,Na sadu kupónů je povolen pouze {0} kód kupónu.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,kupón nebyl nalezen nebo není použitelný kupón,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,na toto předplatné nebyl uplatněn kupón {0},coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Chyba během nahrávání. Na řádku {0} byl nalezen duplicitní kód kupónu.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,Kupón {0} je pro toto předplatné již uplatněn,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,"Kupón {0} nelze použít, protože jsou podporovány pouze jednorázové kupóny",Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Použitý kód kupónu nelze odstranit,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Nepodporovaný formát souboru. Povoleny jsou pouze soubory CSV,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Nelze odstranit vyčerpanou sadu kupónů,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Předaný kupón {0} již byl uplatněn {1}krát. Žádné další uplatnění není povoleno,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,Více než {0} znaků se nachází v kódu kupónu v řádku {1},More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Nenalezen žádný takový kupón,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,název sady kupónů již pro jiný kupón existuje.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,Jeden nebo více kupónů obsahuje více než {0} příslušných položek. Další podrobnosti získáte na adrese support@chargebee.com.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Neplatný stav předplatného k uplatnění / změně kupónu,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,Na jeden kupón je povoleno pouze {0} sad kupónů.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Uplatněný kód kupónu nelze archivovat,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,Tento kupón nelze pro toto předplatné použít. Další informace získáte u prodejce.,This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,Žádný takový kupón {0} nelze uplatnit,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,"Kupón {0} nelze použít, protože se nevztahuje na žádnou z položek",Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,V souboru nebyly nalezeny žádné kódy kupónů.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,Platnost kupónu {0} již {1} vypršela,Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,Na toto předplatné nebyly použity žádné kupóny,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,Nelze přečíst obsah v souboru CSV.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Neplatný kód kupónu,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Kód kupónu se na tento kupón nevztahuje,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Kód kupónu již existuje. Duplikát není povolen,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
