key,value,reference value,description
invalid_column,Hodnota {1} ve sloupci ({0}) je neplatná,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,Sloupec {0} je neplatný.,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,"Chcete-li vybrat toto pole, musíte přidat fakturační zemi.",You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,Fakturační země je nutná k ověření DIČ.,Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,"Chcete-li vybrat toto pole, musíte v Austrálii povolit daň",You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,Soubor obsahuje neplatné hodnoty,File contains invalid values,File contains invalid values
unable_to_validate_abn,"Nelze zpracovat ABN, protože server vyhledávání ABN nefunguje.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,Záhlaví není k dispozici nebo není správně naformátováno.,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,Soubor neobsahuje žádné daňové pravidlo,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,Nepodporovaný formát souboru. Povoleny jsou pouze soubory CSV,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,Tento daňový profil je již namapován na typ produktu {0}. K profilu můžete namapovat pouze jeden typ produktu.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,Hodnota pro ({0}) je neplatná,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,Konfigurační soubor daně nebyl nalezen,Tax configuration file not found,Tax configuration file not found
duplicate_column,Sloupec ({0}) se v souboru objeví více než jednou.,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,Musíte zadat platný GSTIN.,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,Musíte zadat platné ABN.,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,DIČ pro tuto zemi neplatí,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,nelze nakonfigurovat hodnoty zip - {0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,neplatné poštovní směrovací číslo,invalid zip/postal code,invalid zip/postal code
org_address_not_config,"Inkluzivní typ ceny daně nelze konfigurovat, protože nelze určit sazbu daně obchodníka",Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,Tato možnost je k dispozici pouze pro Austrálii.,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,Musíte zadat platné DIČ.,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,"Nelze ověřit DIČ, protože u VIES dochází k výpadkům.",Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,Zástupné znaky nelze použít společně s PSČ + 4 poštovní směrovací čísla - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
