key,value,reference value,description
invoice.transaction.credit_applied,Kredit ve výši %{amount} byl připsán %{date}.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Tato částka se počítá na základě základu daně, který se může lišit v závislosti na daňových zákonech ve vaší zemi.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Zrušeno %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, Card., by Card.,payment with card
transaction.payment_method.via_pm, prostřednictvím %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Úpravy,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} bylo odepsáno %{date}.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card, o %{card_type} karta končící %{last4_digits}., by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated,%{amount} refundace byla zahájena %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,"Na tuto fakturu se DPH nevztahuje, protože bylo zadáno platné registrační číslo pro DPH a byl použit mechanismus přenesení daňové povinnosti.",VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} bylo vráceno dne %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Platby,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,"Na tento dobropis se DPH nevztahuje, protože bylo zadáno platné registrační číslo pro DPH a byl použit mechanismus přenesení daňové povinnosti.",VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Offline platby,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, na kartu., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Vezměte prosím na vědomí, že protože Spojené království již není součástí EU, naše služby jsou mimo rozsah britské DPH.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card, na %{card_type} karta končící %{last4_digits}., to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Úvěry,Credits,Credits footer title
invoice.transaction.adjustment,Dne %{date} byla provedena úprava %{amount}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,"Na toto %{quote_title} se DPH nevztahuje, protože bylo zadáno platné registrační číslo pro DPH a byl použit mechanismus přenesení daňové povinnosti.",VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,Zpětné zúčtování ve výši %{amount} bylo zaznamenáno jako vrácení peněz v %{date},A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Tato vývozní transakce je osvobozena od DPH podle článku 146 směrnice o DPH EU.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm, prostřednictvím %{payment_method} ( %{card_type} karta končící %{last4_digits})., via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, o %{payment_method}., by %{payment_method}.,by payment method type
