key,value,reference value,description
line_item.coupon.non_discount_all, %{coupon_details} z %{disc_amt} použito na %{line_items} řádkových položek.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular, %{coupon_details} z %{disc_amt} použito na řádkovou položku %{line_items}.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} použito na řádkovou položku %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Zbývající kredity přidány,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Poměrné poplatky,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} použito u %{line_items} řádkových položek - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Poměrné kredity pro %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, Množství zdarma, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} použito na řádkové položky %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount} pro %{unit} jednotek,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,Celkem jednotek - %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,Byly odebrány další kredity,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,Pro %{line_item_desc} bylo uplatněno <b> %{coupon_details} %{disc_amt} sleva </b>.,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Poplatek za zřízení,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Poměrné kredity,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Propagační kredity byly vráceny,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Propagační kredity,Promotional Credits,promotional credits given for a line item
cn.discount.text,Slevy nebo kredity použité na této faktuře,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Poměrné kredity byly vráceny,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Frakční korekce,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} z %{disc_amt} použito na řádkové položky %{line_items}.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,Jednotky,units,units
