key,value,reference value,description
gift_order_confirmed.gift_receiver.email,Modtagers E-mail,Recipient email,
contract_is_renewed.contract_term.contract_period,Kontraktperiode,Contract Period,
subscription_pause_reminder.subscription.resume_date,Genoptag dato,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Anslået gebyr ved fornyelse,Estimated charge on renewal,
credit_note_updated.credit_note.id,Kreditnota nummer,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Betalingsmetode,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,Kontraktperiode,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,Betalingsdato,Payment date,
payment_one_time_failures.transaction.amount,Faktureret beløb,Invoiced amount,
subscription_paused.subscription.resume_date,Genoptag dato,Resume date,
payments_and_credits_refunded.transaction.date,Refunderes den,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,Faktureret beløb,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Underret den,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
gift_cancelled.gift.scheduled_at,Underret den,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Anslået afgift ved aktivering,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,Betalingsdato,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,Næste fornyelse den,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,Overskydende betalinger,Excess payments,
credit_note_adjustment_created.credit_note.status,Kreditnota status,Credit note status,
contract_is_renewed.contract_term.total_contract_value,Samlet kontraktværdi,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Faktureret beløb,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,Refunderes den,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Refunderbare kreditter,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
order_shipment_reminder.order.shipping_date,Afsendelsesdato,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Annulleringsårsag,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,Samlet kontraktværdi,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Betalingsmetode,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Anslået afgift ved aktivering,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Genoptag dato,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
payment_terms_netd_reminders.invoice.amount,Faktureret beløb,Invoiced amount,
payment_one_time_failures.invoice.due_date,Forfalden siden,Due since,
welcome_mails_in_future_state.subscription.start_date,Abonnementet starter den,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,Tidligere opladning forsøgt,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,Fejlårsag,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,Næste fornyelse den,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,Ubetalt en eller flere fakturaer,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,Faktureret beløb,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,Overskydende betalinger,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,Betalingsmetode,Payment method,
contract_is_terminated.contract_term.total_contract_value,Samlet kontraktværdi,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,Anslået afgift ved næste fornyelse,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,Faktureret beløb,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,Pausedato,Pause date,
payment_authorization_succeeded.transaction.amount,Autoriseret beløb,Authorized amount,
payment_dunning_profile_for_initial_attempt.transaction.amount,Faktureret beløb,Invoiced amount,
payment_one_time_failures.customer_payment_method.info,Betalingsmetode,Payment method,
subscription_paused.subscription.pause_date,Pausedato,Pause date,
payment_authorization_succeeded.customer_payment_method.info,Betalingsmetode,Payment method,
credit_note_updated.credit_note.status,Kreditnota status,Credit note status,
subscription_changed_coupon_applied.coupon.coupons,Kuponer,Coupons,
payment_method_expiry_invalidated_notification.customer_payment_method.info,Betalingsmetode,Payment method,
direct_debit_payment_reminder_for_pad.transaction.statement_descriptor,Betalinger vises på din kontoudtog som,Payments will appear in your bank statement as ,
welcome_mails_in_trial_state.subscription.trial_end,Retssagen slutter den,Trial ends on,
welcome_mails_in_active_state.subscription.next_estimate_amount,Anslået afgift ved næste fornyelse,Estimated charge on next renewal,
invoice_receipt.invoice.amount_due,Forfaldent beløb,Amount due,
trial_expiry_reminders.subscription.next_estimate_amount,Anslået afgift ved aktivering,Estimated charge on activation,
trial_extension_notification.subscription.trial_end,Retssagen slutter den,Trial ends on,
contract_is_renewed.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
subscription_expiry_and_cancellations_cancellation_followups.subscriptions.subscribed_to,Abonnementsoversigt,Subscription summary,
future_subscription_reminders.subscription.start_date,Abonnementet starter den,Subscription starts on,
trial_started_for_future_subscriptions.subscription.trial_end,Retssagen slutter den,Trial ends on,
payments_and_credits_payment_initiated.transaction.amount,Faktureret beløb,Invoiced amount,
subscription_expiry_and_cancellations_reminder.customer_balance.account_credits,Salgsfremmende kreditter,Promotional credits,
payment_offline_payments_profile_for_renewal_invoices.invoice.due_date,Forfalden siden,Due since,
contract_is_terminated.contract_term.contract_period,Kontraktperiode,Contract Period,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.transaction.date,Tidligere opladning forsøgt,Previous charge attempted on,
gift_cancelled.gift_receiver.email,Modtagers E-mail,Recipient email,
