key,value,reference value,description
invalid_column,Værdien {1} i kolonnen ({0}) er ugyldig,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,Kolonnen {0} er ugyldig.,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,Du skal tilføje et faktureringsland for at vælge dette felt.,You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,"Faktureringsland, der er nødvendigt for at validere momsnummeret.",Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,Du skal aktivere skat for Australien for at vælge dette felt,You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,Filen indeholder ugyldige værdier,File contains invalid values,File contains invalid values
unable_to_validate_abn,"Kunne ikke behandle ABN, da ABN Lookup-serveren er nede.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,Overskrift er ikke til stede eller er ikke formateret korrekt.,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,Filen indeholder ingen skatteregler,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,Ikke-understøttet filformat. Kun CSV-filer er tilladt,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,Denne skatteprofil er allerede tilknyttet produkttypen {0}. Du kan kun kortlægge en produkttype til en profil.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,Værdien for ({0}) er ugyldig,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,Skatkonfigurationsfil blev ikke fundet,Tax configuration file not found,Tax configuration file not found
duplicate_column,Kolonnen ({0}) vises mere end én gang i filen.,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,Du skal indtaste en gyldig GSTIN.,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,Du skal indtaste et gyldigt ABN.,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,Momsnummer gælder ikke for dette land,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,kan ikke konfigurere zip-værdierne - {0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,ugyldig postnummer,invalid zip/postal code,invalid zip/postal code
org_address_not_config,"Inkluderende skattepristype kan ikke konfigureres, da handelsskattesats ikke kunne bestemmes",Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,Denne mulighed gælder kun for Australien.,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,Du skal indtaste et gyldigt momsnummer.,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,"Kan ikke validere momsnummer, da VIES oplever nedetid.",Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,Jokertegn kan ikke bruges sammen med ZIP + 4 postnumre - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
