key,value,reference value,description
invoice.transaction.credit_applied,Der blev anvendt en kredit på %{amount} den %{date}.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Dette beløb beregnes ud fra det skattepligtige beløb, som kan variere afhængigt af skatteloven i dit land.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Annulleret den %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, med kort., by Card.,payment with card
transaction.payment_method.via_pm, via %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Justeringer,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} blev afskrevet den %{date}.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card," med %{card_type} kort, der slutter med %{last4_digits}.", by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated, %{amount} refusion blev startet den %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,"Moms gælder ikke på denne faktura, fordi der er angivet et gyldigt momsregistreringsnummer, og den omvendte afgiftsmekanisme er anvendt.",VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} blev refunderet på %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Betalinger,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,"Moms gælder ikke på denne kreditnota, fordi der er angivet et gyldigt momsregistreringsnummer, og den omvendte afgiftsmekanisme er anvendt.",VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Offline betaling,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, til kort., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Bemærk, at da Storbritannien ikke længere er en del af EU, er vores tjenester uden for momsen.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card," til %{card_type} kort, der slutter med %{last4_digits}.", to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Kreditter,Credits,Credits footer title
invoice.transaction.adjustment,Der blev foretaget en justering på %{amount} den %{date}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,"Moms gælder ikke for dette %{quote_title}, fordi der er angivet et gyldigt momsregistreringsnummer, og den omvendte afgiftsmekanisme er anvendt.",VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,En tilbageførsel på %{amount} er registreret som refusion på %{date},A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Denne eksporttransaktion er fritaget for moms i henhold til artikel 146 i EU-momsdirektivet.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm, via %{payment_method} ( %{card_type} card slutter med %{last4_digits})., via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, med %{payment_method}., by %{payment_method}.,by payment method type
