key,value,reference value,description
line_item.coupon.non_discount_all, %{coupon_details} af %{disc_amt} anvendt på %{line_items} linjeposter.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular, %{coupon_details} af %{disc_amt} anvendt på linjepost %{line_items}.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} anvendt på linjepost %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Restkreditter tilføjet,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Proportionerede afgifter,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} anvendt på %{line_items} linjeposter - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Proportionerede kreditter for %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, Gratis mængde, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} anvendt på linjeposter %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount} for %{unit} enheder,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,Samlede enheder - %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,Yderligere kreditter fjernet,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,<b> %{coupon_details} %{disc_amt} off </b> ansøgt om %{line_item_desc}.,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Opsætningsgebyr,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Proportionerede kreditter,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Reklamekreditter returneret,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Salgsfremmende kreditter,Promotional Credits,promotional credits given for a line item
cn.discount.text,Rabatter eller kreditter anvendt på denne faktura,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Prorated Credits Returned,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Brøkkorrektion,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} af %{disc_amt} anvendt på linjeposter %{line_items}.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,enheder,units,units
