key,value,reference value,description
account.first_name.label,Nombre,First Name,
account.first_name.help,,,
account.last_name.label,Apellidos,Last Name,
account.last_name.help,,,
account.email.label,Correo electrónico,Email,
account.email.help,,,
account.company.label,Empresa,Company,
account.company.help,,,
account.phone.label,Teléfono,Phone,
account.phone.help,,,
billing.first_name.label,Nombre,First Name,
billing.first_name.help,,,
billing.last_name.label,Apellidos,Last Name,
billing.last_name.help,,,
billing.email.label,Correo electrónico,Email,
billing.email.help,,,
billing.phone.label,Teléfono,Phone,
billing.phone.help,,,
billing.company.label,Empresa,Company,
billing.company.help,,,
billing.line1.label,Línea de dirección 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Línea de dirección 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Línea de dirección 3,Address Line3,
billing.line3.help,,,
billing.city.label,Ciudad,City,
billing.city.help,,,
billing.zip.label,Código postal,Zip,
billing.zip.help,,,
billing.country.label,País,Country,
billing.country.help,,,
billing.region.label,Provincia,State,
billing.region.help,,,
billing.state_code.label,,State,
billing.state_code.help,,,
tax.vat_number.label,Número de IVA,VAT Number,
tax.vat_number.help,Introduzca el número de IVA,,
tax.registered_for_gst.label,Me he registrado para el GST (impuesto sobre los bienes y servicios),I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Nombre,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Apellidos,Last Name,
shipping.last_name.help,,,
shipping.email.label,Correo electrónico,Email,
shipping.email.help,,,
shipping.phone.label,Teléfono,Phone,
shipping.phone.help,,,
shipping.company.label,Empresa,Company,
shipping.company.help,,,
shipping.line1.label,Línea de dirección 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Línea de dirección 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Línea de dirección 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Ciudad,City,
shipping.city.help,,,
shipping.zip.label,Código postal,Zip,
shipping.zip.help,,,
shipping.country.label,País,Country,
shipping.country.help,,,
shipping.region.label,Provincia,State,
shipping.region.help,,,
shipping.state_code.label,,State,
shipping.state_code.help,,,
gift.first_name.label,Nombre,First Name,
gift.first_name.help,,,
gift.last_name.label,Apellidos,Last Name,
gift.last_name.help,,,
gift.email.label,Correo electrónico,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,¿De parte de quién debemos decir que es?,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Fecha,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Hora,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Nombre,First Name,
card.first_name.help,,,
card.last_name.label,Apellidos,Last Name,
card.last_name.help,,,
card.number.label,Número de tarjeta,Number,
card.number.help,,,
card.expiry.label,Caducidad,Expiry,
card.expiry.help,,,
card.expiry_year.label,,Expiry,
card.expiry_year.help,,,
card.cvv.label,CVV,Cvv,
card.cvv.help,(Número de verificación formado por los últimos 3-4 dígitos en el reverso de su tarjeta),,
card.billing_addr1.label,Línea de dirección de la tarjeta 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Línea de dirección de la tarjeta 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Ciudad de la dirección de la tarjeta,City,
card.billing_city.help,,,
card.billing_zip.label,Código postal de la dirección de la tarjeta,Zip,
card.billing_zip.help,,,
card.billing_country.label,País de la dirección de la tarjeta,Country,
card.billing_country.help,,,
card.billing_region.label,Provincia de la dirección de la tarjeta,State,
card.billing_region.help,,,
card.billing_state_code.label,,State,
card.billing_state_code.help,,,
