key,value,reference value,description
credit_note.label.credit_note,Kreeditarve,Credit Note,The title credit note
credit_note.header.label.units,Ühikud,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,Tagasimaksed,Refunds,Refunds
credit_note.label.sub_total,Kokku,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,See on Chargebee loodud kreeditarve näidis,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,Tagasimaksed ja eraldised,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,Saadetud aadressile,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,Ühikuhind,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,Murru parandus,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Põhjenduse kood,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text, %{amount} tagastati %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,kaasa arvatud,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,Kuupäev,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,eksklusiivne,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,Hind,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Kokku,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,Eraldised,Allocations,Allocations
credit_note.label.round_off,Ümardama,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,Tagasimaksed,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,Ref Arve,Ref Invoice,testing
credit_note.label.due,Saadaval summa,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,koos käibemaksuga,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Arve saajale,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Eraldised,Allocations,Credit note label indicating the allocations
credit_note.label.amount,Summa,Amount,Label amount
credit_note.header.label.amount,Summa,Amount,Amount label
credit_note.applied_transaction.text, %{amount} eraldati arvele ' %{invoice_number}' kuupäeval %{date}.,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,Kliendi ID,Customer ID,Label customer id
credit_note.header.label.sub_total,Kokku,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Maks,Tax,Tax
credit_note.header.label.discounts,Allahindlus,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,Käibemaks eksklusiivne,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Kirjeldus,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Tellimine,Subscription,The label subscription - All the subscription details follow the label
