key,value,reference value,description
card_orders.order.id,Tellimuse ID,Order ID,
button.update_payment_method,Värskendage makseviisi,Update Payment Method,
button.extend_subscription,Laiendage tellimust,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,Kohaletoimetamise aadress,Shipping Address,
button.retarget_hp_url,Viige oma ost lõpule,Complete Your Purchase,
button.reset_password,Lähtesta parool,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Praegune tsükkel,Current Cycle,
button.portal_verify_email,Kinnita e-maili aadress,Verify Email Address,
card_invoices.title,Teie arved,Your Invoices,
card_addresses.billing_address.full_billing_address,Arve Aadress,Billing Address,
button.pay_now,Maksa nüüd,Pay Now,
button.claim_gift,Nõuda kingitust,Claim Gift,
card_orders.order.shipment_carrier,Saadetise vedaja,Shipment carrier,
button.click_here,Kliki siia,Click Here,
card_contract_terms.contract_term.billing_cycle,Arveldustsüklid kokku,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Valitud makseviis,Selected payment method,
card_orders.order.batch_id,Partii ID,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,Lisateave,Additional details,
card_recurring_items.title,Teie tellimus,Your Subscription,
card_contract_terms.contract_term.termination_fee,Lõpetamistasu,Termination fee,
card_customer.title,Teie andmed,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,Kohaletoimetamise aadress,Shipping Address,
card_gift_message.title,Siin on teile isiklik sõnum,Here's a personal message for you,
card_orders.order.amount,Tellimuse summa,Order Amount,
card_orders.order.shipping_date,Saadetise kuupäev,Shipment date,
card_hp_order_items.title,Teie tellimuses olevad üksused:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Term-Endis,At Term-End,
card_orders.order.tracking_id,Jälgimise ID,Tracking id,
card_recurring_items.subscription.po_number,PO number,PO Number,
card_orders.order.note,Märge,Note,
card_contract_terms.title,Lepingu üksikasjad,Contract details,
card_contract_terms.contract_term.total_contract_value,Lepingu koguväärtus,Total Contract Value,
card_contract_terms.contract_term.contract_period,Lepingu periood,Contract Period,
card_orders.title,Sinu tellimus,Your order,
card_customer.customer.id,ID,ID,
