key,value,reference value,description
gift_order_confirmed.gift_receiver.email,Saaja e-post,Recipient email,
contract_is_renewed.contract_term.contract_period,Lepingu periood,Contract Period,
subscription_pause_reminder.subscription.resume_date,Jätka kuupäeva,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Hinnanguline pikendamise tasu,Estimated charge on renewal,
credit_note_updated.credit_note.id,Kreeditarve number,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Makseviis,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,Lepingu periood,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,Maksekuupäev,Payment date,
payment_one_time_failures.transaction.amount,Arve summa,Invoiced amount,
subscription_paused.subscription.resume_date,Jätka kuupäeva,Resume date,
payments_and_credits_refunded.transaction.date,Tagasi makstud,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,Arve summa,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Teata edasi,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
gift_cancelled.gift.scheduled_at,Teata edasi,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Hinnanguline aktiveerimise tasu,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,Maksekuupäev,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,Järgmine uuendamine on,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,Liigsed maksed,Excess payments,
credit_note_adjustment_created.credit_note.status,Kreeditarve olek,Credit note status,
contract_is_renewed.contract_term.total_contract_value,Lepingu koguväärtus,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Arve summa,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,Tagasi makstud,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Tagastatavad krediidid,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
order_shipment_reminder.order.shipping_date,Saadetise kuupäev,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Tühistamise põhjus,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,Lepingu koguväärtus,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Makseviis,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Hinnanguline aktiveerimise tasu,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Jätka kuupäeva,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
payment_terms_netd_reminders.invoice.amount,Arve summa,Invoiced amount,
payment_one_time_failures.invoice.due_date,Tähtaeg alates,Due since,
welcome_mails_in_future_state.subscription.start_date,Tellimine algab,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,Eelmist süüdistust prooviti,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,Tellimuse kokkuvõte,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,Ebaõnnestumise põhjus,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,Järgmine uuendamine on,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,Maksmata üks või mitu arvet,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,Arve summa,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,Liigsed maksed,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,Makseviis,Payment method,
contract_is_terminated.contract_term.total_contract_value,Lepingu koguväärtus,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,Hinnanguline tasu järgmisel uuendamisel,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,Arve summa,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,Paus kuupäev,Pause date,
payment_authorization_succeeded.transaction.amount,Lubatud summa,Authorized amount,
payment_dunning_profile_for_initial_attempt.transaction.amount,Arve summa,Invoiced amount,
payment_one_time_failures.customer_payment_method.info,Makseviis,Payment method,
subscription_paused.subscription.pause_date,Paus kuupäev,Pause date,
payment_authorization_succeeded.customer_payment_method.info,Makseviis,Payment method,
credit_note_updated.credit_note.status,Kreeditarve olek,Credit note status,
subscription_changed_coupon_applied.coupon.coupons,Kupongid,Coupons,
payment_method_expiry_invalidated_notification.customer_payment_method.info,Makseviis,Payment method,
direct_debit_payment_reminder_for_pad.transaction.statement_descriptor,Maksed kuvatakse teie panga väljavõttes kui,Payments will appear in your bank statement as ,
welcome_mails_in_trial_state.subscription.trial_end,Proov lõpeb,Trial ends on,
