key,value,reference value,description
not_supported_for_moved_out_resource,"Värskendustoiminguid ei toetata, kuna oleme selle kliendi teisaldanud saidile {0}",The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,"Vabandust, autentimine nurjus. Parameetrit _jsapi_key pole taotluses","Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} ressurssi identifikaatoriga {1} pole olemas.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} ei leitud,{0} not found,When resource is not found.
tos_not_agreed,Kassas osalemiseks on tingimustega nõustumine kohustuslik.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} ressurss identifikaatoriga {1} on juba olemas.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,"Vabandust, autentimine nurjus. Kehtetu api võti","Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,"Vabandust, autentimine ebaõnnestus. Põhilise autentimise päises on vale vorming.","Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,See api pole selle kliendi jaoks lubatud,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} ressurss on juba olemas,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Tühistamata tellimustega kliente seda toimingut ei toetata.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,"Väärtus, mis on juba {0}",The value already present in {0},The value already present in {0}
api_disabled,Sait pole lubatud,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Vabandust, brauser ei toeta parameetrit.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,Parameetris {1} viidatud {0} puudub,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,"Vabandust, autentimine nurjus. Põhilise autentimise autoriseerimispäist pole taotluses","Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,Kahjuks lubage selle API kasutamiseks tellimuste haldamise saidi seade.,"Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Vabandust, api taotluste limiit on täis. Proovige pärast {0} min.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Vabandust, js-i teegi päringute limiit on täis. Proovige millalgi pärast.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,See URL ei kehti enam. Palun pöörduge abi saamiseks meiega.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Selle ressursi värskendustoimingud pole enam võimalikud. Abi saamiseks võtke meiega ühendust.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"Vabandust, kuid {0} ressurss {1} on juba kustutamiseks kavandatud","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"Operatsiooni ei toetata klientide jaoks, kellele on juba määratud PII tühjendamine.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
