key,value,reference value,description
invalid_charge_start_and_end,Möödunud kehtetu tähtaeg. line_item.date_from peab olema enne line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to
xero_build_inprogress,Xero integreerimine on hoolduse tõttu ajutiselt keelatud. See peaks mõne minuti pärast läbi saama. Proovige millalgi pärast.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.
invalid_invoice_amount,Arve summa {0} peaks olema suurem kui null,Invoice Amount {0} should be greater than zero,Invoice Amount {0} should be greater than zero
record_payment_not_supported,{0},{0},{0}
max_size_reached,Tagasimaksmiseks on kaardimaksete ülemmäär ületatud,Exceeded maximum limit of card payments to refund,Exceeded maximum limit of card payments to refund
recurring_addon_not_supported,Korduvat lisa ei saa ootel olevale arvele lisada.,Recurring addon cannot be added to pending invoice.,Recurring addon cannot be added to pending invoice.
hp_product_type_mismatch,"Vabandust, me ei saa teie taotlust töödelda. Võtke ühendust müüja / kaupmehega.","Sorry, we are unable process your request. Please get in touch with the seller/merchant.","Sorry, we are unable process your request. Please get in touch with the seller/merchant."
invalid_payment_amount,{0},{0},{0}
refund_amount_too_big,Määratud summa ületab lubatud limiiti „{0}”,Specified amount is greater than the allowed limit ''{0}'' ,The refund amount is greater than the invoice amount
invalid_invoice_state,{0},{0},{0}
xero_disabled,Xero integreerimine on teie saidil keelatud. Lisateabe saamiseks ja abi saamiseks võtke ühendust aadressil support@chargebee.com.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.
no_card_present_for_refund,"Taotlust ei saa töödelda, kuna selle tehingu jaoks kasutatud makseviis on kustutatud.",Cannot process request as the payment method used for this transaction has been cleared.,Cannot process request as the payment method used for this transaction has been cleared.
insufficient card payments,"Toimingut ei saa jätkata, kuna raha tagastamiseks on vaja erinevaid kaardimakseid",Operation cannot be proceed since customers different card payments are required to refund,Operation cannot be proceed since customers different card payments are required to refund
invoice_price_type,Kõik põhipunktid peaksid olema sama tüüpi (maksuga või maksuga).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).
referenced_line_item_not_found,Viidatud tasu rida {0} ei ole arvele lisatud {1},The referenced charge line item {0} is not attached to invoice {1},The referenced charge line item {0} is not attached to invoice {1}
refund_failed,Tagasimakse ebaõnnestus. Veateade: {0},Refund operation failed. Error message: {0},Refund operation failed. Error message: {0}
operation_failed,{0},{0},{0}
product_type_mismatch,Nii arve kui ka digitaalsete toodete eest ei saa te arveid esitada.,You cannot bill both digital and non-digital products using the same invoice.,You cannot bill both digital and non-digital products using the same invoice.
invoice.operation_not_suppoerted,{0},{0},{0}
address_change_not_supported,"Aadressi ei saa muuta, kuna see muudab rakendatud maksu",Address cannot be changed as it changes the applied tax,Address cannot be changed as it changes the applied tax
