key,value,reference value,description
sort_param_order_invalid,Määratud sortimisjärjestus {0} on vale,The specified sort order {0} is invalid,The specified sort order {0} is invalid
updgrade_api_err_msg,{0},{0},{0}
wrong_value,vale väärtus,wrong value,wrong value
found_card_pattern,{0},{0},{0}
upload_error,Viga faili üleslaadimisel,Error while uploading file,Error while uploading file
ILLEGAL_DOMAIN,Domeen {0} pole lubatud,{0} domain is not allowed,{0} domain is not allowed
param_fixed_size_error,Suurus peaks olema {0},The size should be of {0},The size should be of {0}
mcp_api_v1_err,"Kuna MCP on lubatud, on vaja minna üle versioonile API 2. versioon",Upgrade to API V2 is needed as MCP is enabled,Upgrade to API V2 is needed as MCP is enabled
multipart_post,Mitmeosalist ei saa määrata peale postimeetodi,Cannot set multipart for other than post method,Cannot set multipart for other than post method
ILLEGAL_DNS,"Domeen lahendab sisemise IP-aadressi vahemiku, mis pole lubatud.",The domain resolves to internal ip address range which is not allowed.,The domain resolves to internal ip address range which is not allowed.
param_not_supported,{0},{0},{0}
mustache_not_allowed,vuntsimärgid pole lubatud,mustache tags are not allowed,mustache tags are not allowed
param_value_lesser_error,See peaks olema vähemalt {0},It should be atleast {0},It should be atleast {0}
param_exceeded_error,See ei tohiks olla suurem kui {0},It should not be more than {0},It should not be more than {0}
not_an_image,Üleslaaditud fail peaks olema pilt.,Uploaded file should be an image.,Uploaded file should be an image.
UNKNOWN_HOST,Domeeni {0} ei saa lahendada,Unable to resolve {0} domain ,Unable to resolve {0} domain 
EMPTY_SCHEME,URL peaks algama protokolliga http: // või https: //,URL should start with http:// or https:// protocol,URL should start with http:// or https:// protocol
validate.mul_sub_entry,Kliendil {0} on juba tellimus.,The customer {0} already has a subscription.,The customer {0} already has a subscription.
file_size_limit_exceeded,Üleslaaditava faili suurus ei tohi olla suurem kui {0},Upload file size cannot exceed {0},Upload file size cannot exceed {0}
invalid_range,esimene väärtus {0} ei tohiks olla suurem kui teine ​​väärtus {1},first value {0} should not be more than second value {1},first value {0} should not be more than second value {1}
timestamp_future_only,Unixi ajatempel peaks olema tulevikus,Unix timestamp should be in future,Unix timestamp should be in future
param_wrong_value,Selle parameetri jaoks määratud väärtus {0} on vale,Value {0} specified for this param is incorrect,The returned parameter has incorrect value
timestamp_past_only,Unixi ajatempel peaks olema minevikus,Unix timestamp should be in past,Unix timestamp should be in past
param_lesser_error,See peaks olema vähemalt {0},It should be atleast {0},It should be atleast {0}
param_invalid,Väärtus {0} on vale,The value {0} is invalid,The value {0} is invalid
should_be_valid_date,vale kuupäeva vorming,wrong date format,wrong date format
UNSUPPORTED_SCHEME,Rakendust {0} ei toetata. Toetatud on ainult http ja https,{0} is not supported. Only http and https are supported,{0} is not supported. Only http and https are supported
image_scrambled,Üleslaaditud pilt on skrambleeritud.,Uploaded image is scrambled.,Uploaded image is scrambled.
charge_not_more_than_zero,Laaditav summa peaks olema suurem kui null,Amount to charge should be more than zero,Amount to charge should be more than zero
param_cannot_exceed,{0},{0},{0}
param_should_not_be_blank,ei saa olla tühi,cannot be blank,cannot be blank
not_in_allowed_values,pole lubatud väärtustes,not in allowed values,not in allowed values
size_limit_exceeded,{0} ei tohi olla pikem kui {1} tähemärki,{0} should not be more than {1} characters,{0} should not be more than {1} characters
email_cannot_be_empty,E-posti väli ei tohi olla tühi,Email field cannot be empty,Email field cannot be empty
email_not_in_allowed_size_range,E-posti aadressi suurus ei tohi olla suurem kui {0},Email id size should not be more than {0},Email id size should not be more than {0}
param_size_exceeded_error,Suurus ei tohiks olla suurem kui {0},The size should not be more than {0},The size should not be more than {0}
param_should_be_blank,peaks olema tühi,should be blank,should be blank
param_required,ei saa olla tühi,cannot be blank,The parameter is not sent or is empty. Incase you are getting the  parameter's value from the user then it is better to do validation  for mandatory fields on your end rather than passing it to ChargeBee and then handling the error.
resource_not_unique,{0} ressurss on juba olemas,{0} resource already exists,{0} resource already exists
duplicate_addon_entry,Addoni sisestuse duplikaat pole lubatud.,Duplicate addon entry is not allowed.,Duplicate addon entry is not allowed.
filter_param_operator_invalid,Määratud filtrioperaator {0} on vale,The specified filter operator {0} is invalid,The specified filter operator {0} is invalid
ILLEGAL_DOMAIN_SUFFIX,{0} Domeeni järelliide pole lubatud,{0} domain suffix is not allowed,{0} domain suffix is not allowed
param_invalid_msg,{0},{0},{0}
validate.param_not_unique,Väärtus {0} on juba olemas.,The value {0} is already present.,The value {0} is already present.
UNSUPPORTED_PORT," Lubatud on ainult [443, 80, 8443, 8080, 9001] pordid"," Only [443, 80, 8443, 8080, 9001] ports are allowed"," Only [443, 80, 8443, 8080, 9001] ports are allowed"
timestamp_future_only_or_zero,"Unixi ajatempel peaks olema tulevikus või null, et näidata kohe",Unix timestamp should be in future or zero to indicate immediate,Unix timestamp should be in future or zero to indicate immediate
params_required,{0},{0},Parameters for the resource is required.
wrong_format_pattern,Peaks olema vormingus {0},Should be in {0} format,Should be in {0} format
param_size_lesser_error,Suurus peaks olema vähemalt {0},The size should be atleast {0},The size should be atleast {0}
currency_mismatched,{0},{0},{0}
ip_address_not_supported,IP-aadressi ei toetata,No support for Ip address,No support for Ip address
should_be_valid_input,peaks olema kehtiv sisend,should be a valid input,should be a valid input
no_change_for_i18n,Pakend on tühi,Pack is empty,Pack is empty
NO_EMPTY_SCHEME,"Sisestage domeen ilma protokollita (http, https)","Provide the domain without the protocol (http, https)","Provide the domain without the protocol (http, https)"
wrong_format,vale formaat,wrong format,wrong format
emoji_chars_not_allowed,Väärtus {0} on vale,The value {0} is invalid,The value {0} is invalid
amount_overflow,Töötlemisel olev summa {0},Amount that is being processed {0},Amount that is being processed {0}
param_should_not_be_sent,{0},{0},The parameter should not be sent. Should occur only during development phase.
