key,value,reference value,description
portal.stripe_acc_status_reason.errored,Hiljutine pangakontole saadetud ülekanne nurjus. Pangakontot ei saa tulevaste maksete jaoks kasutada,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments
portal.change_password.reenter_new_password,Paroolid ei kattu,Passwords do not match,Passwords do not match
portal.change_password.new_password_not_same,Uus parool on sama mis praegune parool,New password is same as the current password,New password is same as the current password
portal.change_password.current_password.incorrect,Teie antud parool on vale,The password you gave is incorrect,The password you gave is incorrect
portal.stripe_acc_status_reason.verification_failed,Max katsed pangakontot kontrollida on ületatud,Max attempts to verify the bank account has been crossed,Max attempts to verify the bank account has been crossed
portal.account_details.address,Aadress,Address,Address Label
portal.stripe_acc_status_reason.validated,Pangakontot pole veel kinnitatud,The bank account is not yet verified,The bank account is not yet verified
portal.stripe_acc_status_reason.verified,Pangakonto on kontrollitud,The bank account is verified,The bank account is verified
portal.stripe_acc_status_reason.new,Pangakontot pole veel kinnitatud,The bank account is not yet verified,The bank account is not yet verified
portal.change_password.recently_used,Hiljuti kasutatud paroole ei saa enam uuesti kasutada,Recently used passwords cannot be reused again,Recently used passwords cannot be reused again
