key,value,reference value,description
cbjs_grp.bank,Pank,Bank,Bank
cbjs_grp.select_bank,Valige Pank,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Toetatud pankade loendi toomine,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Lisage oma konto üksikasjad,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Konto üksikasjade muutmine,Editing account details,Editing account details
inapp_checkout.customer.update,Uuenda,Update,Update
inapp_checkout.customer.next,Järgmine,Next,Next
inapp_checkout.billing_address.header,Lisage oma arveldusaadress,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Arveldusaadressi muutmine,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Uuenda,Update,Update
inapp_checkout.billing_address.next,Järgmine,Next,Next
inapp_checkout.shipping_address.header,Lisage oma saatmisaadress,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Saatmisaadressi muutmine,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Uuenda,Update,Update
inapp_checkout.shipping_address.next,Järgmine,Next,Next
inapp_checkout.choose_sa.header,Valige saatmisaadress,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Saatke minu arveldusaadressile,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Lisa uus,Add New,Add New
inapp_checkout.payment_method.choose.add,Lisage makseviis,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Lisage oma makse üksikasjad,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Makse üksikasjade muutmine,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Valige makseviis,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Valige mõni muu makseviis,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Uuenda,Update,Update
inapp_checkout.payment_method.next,Järgmine,Next,Next
inapp_checkout.subscription.header,Lisage oma tellimuse üksikasjad,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Lisage oma ostu üksikasjad,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Tellimuse üksikasjade muutmine,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Ostu üksikasjade muutmine,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Uuenda,Update,Update
inapp_checkout.invoice.update,Uuenda,Update,Update
inapp_checkout.subscription.next,Järgmine,Next,Next
inapp_checkout.invoice.next,Järgmine,Next,Next
inapp_checkout.review.header,Täitke oma tellimus,Complete your order,Complete your order
inapp_checkout.pay_review.header,Täitke oma tellimus,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Makske %{amount} ja tellige,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Telli,Subscribe,Subscribe
inapp_checkout.review.order.header,Tellimuse kokkuvõte,Order summary,Order summary
inapp_checkout.review.account.header,Konto,Account,Account
inapp_checkout.review.billing.header,Arveldamine,Billing,Billing
inapp_checkout.review.shipping.header,Saatmine,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Arveldamine ja saatmine,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Tellimuse üksikasjad,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Ostu üksikasjad,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Maksmine,Payment,Payment
inapp_checkout.review.more,Vaadake üksikasjad üle,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Valige saatmisaadress,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Vali maksemeetod,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Rakenda,Apply,Apply
inapp_checkout.coupon.label,Rakenda kupong,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Sisestage kupongi kood,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Muuda järjestust,Edit order,Edit order
inapp_checkout.cart.header,Sinu tellimus,Your order,Your order
inapp_checkout.cart.next,Jätkake kassasse,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Eemalda,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Soovitatavad lisad,Recommended addons,Recommended addons
