key,value,reference value,description
error.column.base_money.numeric,pitäisi olla numero,should be a number,
error.invalid_expiry_info,virheelliset vanhentumistiedot,invalid expiry info,
error.column.number.allow_negative,ei pitäisi olla negatiivinen,should not be negative,
error.column.email.main, pitäisi olla kelvollinen sähköpostiosoite, should be a valid email,
error.column.number.range.min_max,pitäisi olla alueella %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,ei saa ylittää %{max},should not exceed %{max},
error.column.number.range.max,ei saa ylittää %{max},should not exceed %{max},
error.column.string.length.min, tulisi olla vähintään %{min} merkkiä, should have atleast %{min} characters,
error.atleast_today,Pitäisi olla ainakin tänään,Should be atleast today,
error.column.base_money.range.min,pitäisi olla vähintään %{min},should be atleast %{min},
error.invalid_cvv,virheellinen CVV,invalid CVV,
error.column.base_money.main, virheellinen valuuttamuoto, invalid currency format,
error.column.number.range.min,pitäisi olla vähintään %{min},should be atleast %{min},
error.column.string.length.max, saa olla enintään %{max} merkkiä, should not have more than %{max} characters,
error.presence,ei voi olla tyhjä,cannot be blank,
error.wrong_format,Sen pitäisi olla muodossa %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, pitäisi olla %{min} merkkiä pitkä, should be of %{min} characters,
error.date_format,virheellinen päivämäärämuoto,invalid date format,
error.column.string.length.min_max, tulisi olla %{min} - %{max} merkkiä, should be between %{min} and %{max} characters,
error.column.color.main,virheellinen kuusikulmainen värikoodi,invalid hex color code,
error.password.format,"Salasanasi on oltava vähintään 8 merkkiä pitkä ja siinä on oltava kokonaisluku, aakkoset ja erikoismerkki","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,desimaaliarvot eivät ole sallittuja,decimal values are not allowed,
error.column.data.format_spaces, Virheellinen päivämäärämuoto, Invalid date format,
error.card_number,virheellinen luottokortin numero,invalid credit card number,
error.register_for_gst_should_be_enabled,Tämä on pakollista,This is mandatory,
error.column.uniqueness, %{column_name} on jo olemassa,%{column_name} already exists,
error.column.base_money.range.min_max,pitäisi olla alueella %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,pitäisi olla numero,should be a number,
error.vat_number_cannot_be_blank,ALV-numero ei voi olla tyhjä,VAT Number cannot be empty,
