key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Antamalla IBAN-tunnuksesi ja vahvistamalla maksun valtuutat %{merchant_name}, velkojan ja maksupalveluntarjoajamme Stripe: n lähettämään ohjeet pankillesi veloittamaan tililtäsi ja pankkisi veloittamaan tililtäsi näiden ohjeiden mukaisesti. Sinulla on oikeus hyvitykseen pankistasi pankkisi kanssa tekemänsä sopimuksen ehtojen mukaisesti. Hyvitys on haettava 8 viikon kuluessa päivästä, jona tililtäsi veloitettiin.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Olen rekisteröitynyt GST: hen,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Suoraveloitusohjeet,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Nimi,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,käyttöehdot.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,"Hyväksyn, että tähän viranomaiseen sovelletaan pankkini ehtoja, jotka liittyvät tiliini ja tiettyyn aloittajaan",I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,toistuva SEPA-suoraveloitus,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,Pyyntösi käsittelyssä tapahtui virhe. Valitse toinen maksutapa tai yritä uudelleen.,An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,Sinun on lisättävä maksutapa päivittääksesi tilauksesi.,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,TYHJÄ,EMPTY,field empty
hp_v3.portal.ach.setup,Määritä ACH,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,Tallentaa,Saving,Saving
hp_v3.pm.ideal_disclaimer,<li> Sinut ohjataan pankkisivulle todentamaan maksu iDealin kautta. </li> <li> Toistuvat maksusi suoritetaan SEPA-suoraveloituksella. </li>,<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,iDEAL disclaimer
hp_v3.direct_debit.country,Maa,Country,Country
hp_v3.portal.metered_subscription.desc_without_amount,Maksut perustuvat käyttöön,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.pm.sofort_desc,toistuva SEPA-suoraveloitus,recurring via SEPA Direct Debit,Sofort desc
hp_v3.paynow.use_card_future_payments.info,Voit käyttää tätä maksutapaa tulevissa tapahtumissasi.,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.pm.agreement.gocardless_bacs4,"Jos saat hyvityksen, johon sinulla ei ole oikeutta, sinun on maksettava se takaisin, kun %{merchant_name} pyytää sinua.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to."
hp_v3.portal.gateway_error,Ei voida jatkaa ilman kelvollista yhdyskäytävän tiliä,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.pm.agreement.gocardless_bacs5,Voit peruuttaa suoraveloituksen milloin tahansa ottamalla yhteyttä pankkiisi tai rakennusyhteisöön. Kirjallinen vahvistus voidaan tarvita. Ilmoita myös %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.
hp_v3.pm.agreement.gocardless_bacs2,"Jos suoraveloituksen määrä, päivämäärä tai taajuus muuttuu, %{merchant_name} ilmoittaa sinulle (yleensä 3 työpäivää) etukäteen tilisi veloituksesta tai toisin sovitulla tavalla. Jos pyydät %{merchant_name} maksun keräämistä, sinulle vahvistetaan summa ja päivämäärä pyynnön tekohetkellä.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request."
hp_v3.pm.agreement.gocardless_bacs3,"Jos %{merchant_name} tai pankki tai rakennusyhteisö suoritti suoraveloituksen maksamisessa virheen, sinulla on oikeus saada täysi ja välitön hyvitys pankistasi tai rakennusyhteisöltäsi maksamastasi summasta.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society."
hp_v3.portal.no_account,"Näyttää siltä, ​​että sinulla ei ole tiliä kanssamme",Looks like you don’t have an account with us,No account
hp_v3.pm.agreement.gocardless_bacs1,"Takuuta tarjoavat kaikki pankit ja rakennusyhdistykset, jotka hyväksyvät ohjeet suoraveloituksen maksamiseen.",The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.
hp_v3.pm.agreement.gocardless_payment_descriptor, %{payment_descriptor} näkyy tiliotteessasi.,%{payment_descriptor} will appear on your bank statement.,%{payment_descriptor} will appear on your bank statement.
hp_v3.paynow.pm.ach,ACH,ACH,ACH
hp_v3.inapp_checkout.card_expiring,on vanhentumassa,is expiring,card about to expire
hp_v3.direct_debit.last_name,Sukunimi,Last Name,Last Name
hp_v3.common.copy,Kopio,Copy,Copy
hp_v3.inapp_checkout.pm.direct_debit,Suoraveloitus,Direct Debit,Direct Debit
hp_v3.direct_debit.stripe.verification_amount.description,"Sinun on vahvistettava tämä maksutapa. Pankkitilillesi on tehty 2 mikrotalletusta. Voi kestää 1-2 päivää, ennen kuin se näkyy tiliotteessasi. Näiden talletusten tiliotteen kuvaus on <b> AMNTS: </b> Sinun on vahvistettava nämä summat täällä todentaaksesi tämän maksutavan.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method."
hp_v3.portal.more_billing_history,Lataa lisää,Load More,Load more history of billing
hp_v3.pm.ideal_desc,toistuva SEPA-suoraveloitus,recurring via SEPA Direct Debit,iDEAL desc
hp_v3.direct_debit.date_of_authorization,Luvan myöntämispäivä,Date of Authorization,Date of Authorization
hp_v3.direct_debit.stripe.verification_amount_1,Vahvistussumma 1,Verification Amount 1,Verification Amount 1
hp_v3.direct_debit.stripe.verification_amount_2,Vahvistussumma 2,Verification Amount 2,Verification Amount 2
hp_v3.direct_debit.authorisation_code,Valtuutuskoodi,Authorisation code,Authorisation code
hp_v3.portal.term.months,kuukaudet,months,months
hp_v3.pm.agreement.gocardless_payment_cancellation,Tämä valtuutus voidaan peruuttaa suoraan pankistasi tai lähettämällä sähköpostia osoitteeseen %{merchant_name} osoitteeseen %{merchant_email}. Odota 7 päivää tämän valtuutuksen peruuttamiseen.,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.
hp_v3.inapp_checkout.coupon_error,Virheellinen kuponkikoodi,Invalid Coupon Code,Invalid Coupon Code
hp_v3.inapp_checkout.term.week,viikko,week,week
hp_v3.direct_debit.swedish_id,Ruotsalainen henkilötunnus,Swedish Identity Number,Swedish Identity Number
hp_v3.inapp_checkout.error,Lomaketta lähetettäessä tapahtui virheitä,There were errors while submitting the form,There were errors while submitting the form
hp_v3.portal.metered_item.usage_tooltip,Maksut lasketaan käytön perusteella. Viimeisin käyttöpäivitys oli {{date}},Charges are calculated based on usage. Last usage update was on {{date}},Metered item usage tooltip content
hp_v3.pm.agreement.gocardless_sepa,"Allekirjoittamalla tämän valtuutuslomakkeen valtuutat (A) %{merchant_name} lähettämään ohjeet pankillesi veloittamaan tilisi ja (B) pankkisi veloittamaan tilisi %{merchant_name} -ohjeiden mukaisesti. Osana oikeuksiasi sinulla on oikeus hyvitykseen pankistasi pankkisi kanssa tekemänsä sopimuksen ehtojen mukaisesti. Hyvitys on haettava 8 viikon kuluessa päivästä, jona tililtäsi veloitettiin.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
