key,value,reference value,description
not_supported_for_moved_out_resource,"Päivitystoimintoja ei tueta, koska olemme siirtäneet tämän asiakkaan sivustolle {0}",The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,Valitettavasti todennus epäonnistui. Parametriä _jsapi_key ei ole pyynnössä,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} resurssia tunnuksella {1} ei ole olemassa.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} ei löydy,{0} not found,When resource is not found.
tos_not_agreed,Ehtojen hyväksyminen on pakollista kassalle.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} resurssi tunnuksella {1} on jo olemassa.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,Valitettavasti todennus epäonnistui. Virheellinen api-avain,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,Valitettavasti todennus epäonnistui. Perustodennusotsikon muoto on virheellinen.,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Tätä sovellusta ei sallita tälle asiakkaalle,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} resurssi on jo läsnä,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,"Toimintoa ei tueta asiakkaille, joilla on peruuttamattomat tilaukset.",The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,{0}: ssa jo oleva arvo,The value already present in {0},The value already present in {0}
api_disabled,Sivustoa ei ole otettu käyttöön,The site is not enabled,The site is not enabled
param_not_supported_in_browser,Valitettavasti selain ei tue parametria.,"Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,Parametrissa {1} viitattua {0} ei ole,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,Valitettavasti todennus epäonnistui. Perusvarmennuksen valtuutusotsikkoa ei ole pyynnössä,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Anteeksi, ota käyttöön tilauksenhallintasivusto, jotta voit käyttää tätä sovellusliittymää.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,Valitettavasti api-pyyntöjen raja on saavutettu. Yritä {0} minuutin kuluttua.,"Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,Valitettavasti js-kirjaston pyyntöjen raja on saavutettu. Yritä jonkin aikaa.,"Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Tämä URL-osoite ei ole enää kelvollinen. Ota yhteyttä meihin saadaksesi apua.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Päivitystoiminnot eivät ole enää mahdollisia tälle resurssille. Ota yhteyttä meihin saadaksesi apua.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,Valitettavasti {0} resurssi {1} on jo ajoitettu poistettavaksi,"Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"Toimintoa ei tueta asiakkaille, joille on jo määritetty henkilötietojen tyhjentäminen.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
