key,value,reference value,description
taxjar_communication_failure,Valitettavasti emme voi kommunikoida TaxJarin kanssa juuri nyt. Yritä jonkin ajan kuluttua.,"Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Toimenpide epäonnistui. Virheellinen asiakirjan tila Avalarassa.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,Organisaation osoite on joko virheellinen tai puutteellinen. Vahvista ja yritä uudelleen.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Annetut Avalaran tunnistetiedot ovat virheellisiä.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Organisaation osoite on joko virheellinen tai puutteellinen. Vahvista ja yritä uudelleen.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,TaxJar-tuotekoodia ei ole määritetty tuotteelle {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,Toimitusosoite {0} osoitteen tarkistus epäonnistui. Vahvista ja yritä uudelleen.,"Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,Toimitusosoite on joko virheellinen tai puutteellinen. Vahvista ja yritä uudelleen.,"Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Annetut TaxJar-tunnistetiedot ovat virheellisiä.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,"Tunnusta {0} ei voi tyhjentää, koska ne ovat jo käytössä. Poista {0} veroasetukset, ennen kuin tyhjennät {0} kirjautumistiedot.",{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,"Veroprosenttia ei voida laskea, koska toimitus- / laskutusosoite on virheellinen tai puutteellinen. Vahvista ja yritä uudelleen.",Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,Valitettavasti tämä teema ei tue {0}. Valitse toinen teema.,"Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,Laskutusosoite on joko virheellinen tai puutteellinen. Vahvista ja yritä uudelleen.,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,Avalara AvaTax -tilillesi määritetty yrityskoodi on joko ei-aktiivinen tai sitä ei ole.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,Anna oikea laskutusosoite ennen lähetysosoitteen poistamista.,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,"Tätä asiakirjaa ei voi mitätöidä / poistaa, koska sitä ei ole lähetetty Avalaraan. Yritä uudelleen jonkin ajan kuluttua.",This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,Valitettavasti emme pysty kommunikoimaan Avalaran kanssa juuri nyt. Yritä jonkin ajan kuluttua.,"Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,Valitettavasti jotain meni pieleen pyynnön käsittelyn aikana. Yritä jonkin ajan kuluttua.,"Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Voit valita joko Avalara-entiteettikoodin tai vapautetun numeron, et molempia.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,Valitettavasti jotain meni pieleen pyynnön käsittelyn aikana. Yritä jonkin ajan kuluttua.,"Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
