key,value,reference value,description
minimal.card.page_heading,"Kiitos, että päivitit maksutapasi tiedot!",Thank you for updating your payment method details!,Thank you for updating your payment method details!
rhapsody.header.title,Mahtava tilauspalveluni,My awesome subscription service,My awesome subscription service
minimal.checkout.page_title,Tarkista,Checkout,Checkout
elegant.checkout.page_heading,Kiitos tilaamisesta!,Thank you for subscribing!,Thank you for subscribing!
inspire.portal.page_title,Asiakasportaali,Customer Portal,Customer Portal
rhapsody.footer.content,Kaikki oikeudet pidätetään. Tekijänoikeus © 2015.,All Right Reserved. Copyright &copy; 2015.,All Right Reserved. Copyright &copy; 2015.
minimal.thankyou.page_title,Kiitos,Thank You,Thank You
elegant.thankyou.page_heading,Olet onnistuneesti kirjautunut!,You've successfully signed up!,You've successfully signed up!
elegant.customer_portal.page_title,Asiakasportaali,Customer Portal,Customer Portal
rhapsody.thankyou.page_heading,Olet onnistuneesti kirjautunut!,You've successfully signed up!,You've successfully signed up!
elegant.checkout.aside_content,"<h4> Arvostamme yksityisyyttäsi. </h4> <p> Emme myy tai jaa yhteystietojasi. Lue tietosuojakäytäntömme. </p> <hr> <h4> Laskutuskyselyt </h4> <p> Ota yhteyttä tukitiimiimme, jos sinulla on kysyttävää. </p>",<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
minimal.footer.content,Kaikki oikeudet pidätetään. Tekijänoikeus © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.header.title,Mahtava tilauspalveluni,My awesome subscription service,My awesome subscription service
rhapsody.thankyou.content,Tilisi tiedot on lähetetty sähköpostiosoitteeseesi.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
minimal.header.title,Mahtava tilauspalveluni,My awesome subscription service,My awesome subscription service
minimal.customer_portal.page_title,Asiakasportaali,Customer Portal,Customer Portal
inspire.thankyou.page_title,Kiitos,Thank You,Thank You
minimal.card.aside_content,"<p> Huomaa, että tämä on vain maksutapasi päivitys. </p> <p> Laskutamme sinua nykyisen laskutusasetuksesi mukaisesti. </p>",<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
minimal.thankyou.content,Tilisi tiedot on lähetetty sähköpostiosoitteeseesi.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.aside_content,"<p> Huomaa, että tämä on vain maksutapasi päivitys. </p> <p> Laskutamme sinua nykyisen laskutusasetuksesi mukaisesti. </p>",<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
elegant.card.page_heading,"Kiitos, että päivitit maksutapasi tiedot!",Thank you for updating your payment method details!,Thank you for updating your payment method details!
minimal.card.page_title,Päivitä maksutapa,Update your payment method,Update your payment method
inspire.thankyou.content,"<div class=""text-center""> <h3> Olet kirjautunut! </h3> <p> Tilisi tiedot on lähetetty sähköpostiosoitteeseesi. </p> </div>",<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>
minimal.checkout.page_heading,Kiitos tilaamisesta!,Thank you for subscribing!,Thank you for subscribing!
rhapsody.card.page_title,Päivitä maksutapa,Update your payment method,Update your payment method
rhapsody.checkout.page_title,Tarkista,Checkout,Checkout
rhapsody.thankyou.page_title,Kiitos,Thank You,Thank You
elegant.checkout.page_title,Tarkista,Checkout,Checkout
elegant.thankyou.content,Tilisi tiedot on lähetetty sähköpostiosoitteeseesi.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_title,Päivitä maksutapa,Update your payment method,Update your payment method
rhapsody.customer_portal.page_title,Asiakasportaali,Customer Portal,Customer Portal
minimal.thankyou.page_heading,Olet onnistuneesti kirjautunut!,You've successfully signed up!,You've successfully signed up!
elegant.footer.content,Kaikki oikeudet pidätetään. Tekijänoikeus © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.thankyou.page_title,Kiitos,Thank You,Thank You
inspire.card.page_title,Päivitä maksutapa,Update your payment method,Update your payment method
inspire.header.title,Yrityksen nimi,Company Name,Company Name
inspire.checkout.page_title,Tarkista,Checkout,Checkout
minimal.checkout.aside_content,"<h4> Arvostamme yksityisyyttäsi. </h4> <p> Emme myy tai jaa yhteystietojasi. Lue tietosuojakäytäntömme. </p> <hr> <h4> Laskutuskyselyt </h4> <p> Ota yhteyttä tukitiimiimme, jos sinulla on kysyttävää. </p>",<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
