key,value,reference value,description
zero_decimal_update_gateway,{0} -yhdyskäytävän käyttäminen määritetyn valuutan kanssa ei ole sallittua.,Using {0} gateway with the configured currency is not allowed.,Using {0} gateway with the configured currency is not allowed.
paypal_not_supported,"Valittua valuuttaa ei tueta, koska olet määrittänyt PayPal Express Checkout -palvelun.",Selected currency is not supported since you have configured PayPal Express Checkout.,Selected currency is not supported since you have configured PayPal Express Checkout.
paypal_setup_error,Virhe siirrettäessä PayPaliin.,An error occured while redirecting to PayPal.,An error occured while redirecting to PayPal.
currency_not_supported,{0} ei tue Chargebee-sovelluksessa määritettyä valuuttaa.,Currency configured in Chargebee is not supported by {0}.,Currency configured in Chargebee is not supported by {0}.
invalid_credential_with_message,{0},{0},{0}
gateway_credential_missing,Ongelma maksun käsittelyssä. Yritä jonkin ajan kuluttua.,Problem in processing your payment. Please try after some time.,Problem in processing your payment. Please try after some time.
gw_credential_verification_failed,{0},{0},{0}
gateway_down_with_message,"Yhteys epäonnistui, kun yritettiin ottaa yhteyttä yhdyskäytävään. Yritä jonkin ajan kuluttua. Todennäköinen syy: {0}",Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0}
wepay_not_supported,wepay-yhdyskäytävää ei tueta tässä toiminnossa.,wepay gateway is not supported for this operation.,wepay gateway is not supported for this operation.
delete_card_error,Maksutapaa poistettaessa tapahtui ongelma. Yritä jonkin ajan kuluttua.,Problem occurred while deleting the payment method. Please try after some time.,Problem occurred while deleting the payment method. Please try after some time.
gateway_in_active_state,Maksuyhdyskäytävä on jo aktiivisessa tilassa,Payment gateway is already in active state,Payment gateway is already in active state
zero_decimal_update_site,Chargebee ei tue valittua valuuttaa {0} yhdyskäytävän kanssa.,Chargebee doesn''t support the selected currency with {0} gateway.,Chargebee doesn''t support the selected currency with {0} gateway.
default_gateway_not_configured,Oletusmaksuyhdyskäytävää ei ole määritetty.,Default payment gateway not configured.,Default payment gateway not configured.
remove_archived_gw_not_supported,"Maksuyhdyskäytävää ei voida poistaa, koska se arkistoidaan.",Payment gateway cannot be removed as it is archived.,Payment gateway cannot be removed as it is archived.
bank_account_payment_gateway_not_configured,"Tätä toimintoa ei tueta, koska pankkitilille ei ole määritetty maksuyhdyskäytävää.",This operation is not supported as there is no payment gateway configured for bank account.,This operation is not supported as there is no payment gateway configured for bank account.
empty_card_type_list,Hyväksytyt korttityypit eivät voi olla tyhjiä,Accepted Card types cannot not be empty,Accepted Card types cannot not be empty
default_gateway_not_supported,Oletusasetusta ei tueta tälle yhdyskäytävälle.,Default option is not supported for this gateway.,Default option is not supported for this gateway.
gateway_not_supported,"Valittua valuuttaa ei tueta, koska olet määrittänyt {0}.",Selected currency is not supported since you have configured {0}.,Selected currency is not supported since you have configured {0}.
payment_gateway_not_configured,"Tätä toimintoa ei tueta, koska maksuyhdyskäytävää ei ole määritetty.",This operation is not supported as there is no payment gateway configured.,This operation is not supported as there is no payment gateway configured.
gateway_not_supported_for_mcp,Chargebee ei tue {0} yhdyskäytävän monivaluuttaominaisuutta.,Chargebee doesn''t support multicurrency feature for {0} gateway.,Chargebee doesn''t support multicurrency feature for {0} gateway.
gateway_configuration_failed,{0}.,{0}.,{0}.
forbidden_to_remove,"Maksuyhdyskäytävää ei voi poistaa, koska aktiivisia tilauksia on.",Payment gateway cannot be removed as there are active subscriptions.,Payment gateway cannot be removed as there are active subscriptions.
gateway_down,[object Object],Communication failure occurred when trying to contact the gateway. Please try after some time,Communication failure occurred when trying to contact the gateway. Please try after some time
gocardless_redirect_error,Siirrettäessä GoCardlessiin tapahtui virhe.,An error occured while redirecting to GoCardless.,An error occured while redirecting to GoCardless.
invalid_credential,Tarkista lähetetyt valtakirjat. Yhdyskäytävää ei voi käyttää.,Please check the submitted credentials. Not able to access the gateway.,Please check the submitted credentials. Not able to access the gateway.
gateway_already_configured,Tämä yhdyskäytävä on jo määritetty sivustoa varten. Todennäköinen syy: {0},This gateway is already configured for the site. Probable reason: {0},This gateway is already configured for the site. Probable reason: {0}
