key,value,reference value,description
invalid_column,Arvo {1} sarakkeessa ({0}) on virheellinen,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,Sarake {0} on virheellinen.,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,Sinun on lisättävä laskutusmaa tämän kentän valitsemiseksi.,You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,ALV-numeron vahvistamiseen tarvitaan laskutusmaa.,Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,Sinun on sallittava vero Australiassa tämän kentän valitsemiseksi,You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,Tiedosto sisältää virheellisiä arvoja,File contains invalid values,File contains invalid values
unable_to_validate_abn,"ABN: ää ei voida käsitellä, koska ABN-hakupalvelin ei toimi.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,Otsikkoa ei ole tai se on alustettu väärin.,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,Tiedosto ei sisällä verosääntöä,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,Tiedostomuotoa ei tueta. Vain CSV-tiedostot ovat sallittuja,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,Tämä veroprofiili on jo yhdistetty tuotetyyppiin {0}. Voit yhdistää vain yhden tuotetyypin profiiliin.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,Kohteen ({0}) arvo on virheellinen,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,Veroasetustiedostoa ei löydy,Tax configuration file not found,Tax configuration file not found
duplicate_column,Sarake ({0}) näkyy useammin kuin kerran tiedostossa.,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,Sinun on annettava kelvollinen GSTIN.,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,Sinun on annettava kelvollinen ABN.,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,ALV-numero ei ole voimassa tässä maassa,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,zip-arvoja ei voi määrittää - {0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,virheellinen postinumero,invalid zip/postal code,invalid zip/postal code
org_address_not_config,"Sisältävää verohintatyyppiä ei voida määrittää, koska kauppiaan verokantaa ei voitu määrittää",Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,Tämä vaihtoehto on käytettävissä vain Australiassa.,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,Sinun on annettava voimassa oleva ALV-numero.,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,"Alv-numeroa ei voida vahvistaa, koska VIES: llä on seisokkeja.",Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,Jokerimerkkejä ei voi käyttää ZIP + 4-postinumerojen kanssa - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
