key,value,reference value,description
sort_param_order_invalid,Määritetty lajittelujärjestys {0} on virheellinen,The specified sort order {0} is invalid,The specified sort order {0} is invalid
updgrade_api_err_msg,{0},{0},{0}
wrong_value,väärä arvo,wrong value,wrong value
found_card_pattern,{0},{0},{0}
upload_error,Virhe ladattaessa tiedostoa,Error while uploading file,Error while uploading file
ILLEGAL_DOMAIN,Verkkotunnus {0} ei ole sallittu,{0} domain is not allowed,{0} domain is not allowed
param_fixed_size_error,Koon tulee olla {0},The size should be of {0},The size should be of {0}
mcp_api_v1_err,"Päivitys API-versioon 2 tarvitaan, koska MCP on käytössä",Upgrade to API V2 is needed as MCP is enabled,Upgrade to API V2 is needed as MCP is enabled
multipart_post,Moniosaa ei voi asettaa muulle kuin post-menetelmälle,Cannot set multipart for other than post method,Cannot set multipart for other than post method
ILLEGAL_DNS,"Verkkotunnus muuttuu sisäiseksi IP-osoitealueeksi, jota ei sallita.",The domain resolves to internal ip address range which is not allowed.,The domain resolves to internal ip address range which is not allowed.
param_not_supported,{0},{0},{0}
mustache_not_allowed,viiksetunnisteet eivät ole sallittuja,mustache tags are not allowed,mustache tags are not allowed
param_value_lesser_error,Sen tulisi olla vähintään {0},It should be atleast {0},It should be atleast {0}
param_exceeded_error,Sen saa olla enintään {0},It should not be more than {0},It should not be more than {0}
not_an_image,Ladatun tiedoston tulee olla kuva.,Uploaded file should be an image.,Uploaded file should be an image.
UNKNOWN_HOST,Verkkotunnusta {0} ei voida ratkaista,Unable to resolve {0} domain ,Unable to resolve {0} domain 
EMPTY_SCHEME,URL-osoitteen tulisi alkaa osoitteella http: // tai https: //,URL should start with http:// or https:// protocol,URL should start with http:// or https:// protocol
validate.mul_sub_entry,Asiakkaalla {0} on jo tilaus.,The customer {0} already has a subscription.,The customer {0} already has a subscription.
file_size_limit_exceeded,Lataustiedoston koko ei voi olla suurempi kuin {0},Upload file size cannot exceed {0},Upload file size cannot exceed {0}
invalid_range,ensimmäinen arvo {0} ei saa olla suurempi kuin toinen arvo {1},first value {0} should not be more than second value {1},first value {0} should not be more than second value {1}
timestamp_future_only,Unix-aikaleiman tulisi olla tulevaisuudessa,Unix timestamp should be in future,Unix timestamp should be in future
param_wrong_value,Tälle parametrille määritetty arvo {0} on väärä,Value {0} specified for this param is incorrect,The returned parameter has incorrect value
timestamp_past_only,Unix-aikaleiman tulee olla aiemmin,Unix timestamp should be in past,Unix timestamp should be in past
param_lesser_error,Sen tulisi olla vähintään {0},It should be atleast {0},It should be atleast {0}
param_invalid,Arvo {0} on virheellinen,The value {0} is invalid,The value {0} is invalid
should_be_valid_date,väärä päivämäärämuoto,wrong date format,wrong date format
UNSUPPORTED_SCHEME,{0} ei tueta. Vain http ja https tuetaan,{0} is not supported. Only http and https are supported,{0} is not supported. Only http and https are supported
image_scrambled,Lähetetty kuva sekoitetaan.,Uploaded image is scrambled.,Uploaded image is scrambled.
charge_not_more_than_zero,Laskutettavan määrän tulisi olla yli nolla,Amount to charge should be more than zero,Amount to charge should be more than zero
param_cannot_exceed,{0},{0},{0}
param_should_not_be_blank,ei voi olla tyhjä,cannot be blank,cannot be blank
not_in_allowed_values,ei sallituissa arvoissa,not in allowed values,not in allowed values
size_limit_exceeded,{0} saa olla enintään {1} merkkiä,{0} should not be more than {1} characters,{0} should not be more than {1} characters
email_cannot_be_empty,Sähköpostikenttä ei voi olla tyhjä,Email field cannot be empty,Email field cannot be empty
email_not_in_allowed_size_range,Sähköpostitunnuksen koko saa olla enintään {0},Email id size should not be more than {0},Email id size should not be more than {0}
param_size_exceeded_error,Koko ei saa olla suurempi kuin {0},The size should not be more than {0},The size should not be more than {0}
param_should_be_blank,pitäisi olla tyhjä,should be blank,should be blank
param_required,ei voi olla tyhjä,cannot be blank,The parameter is not sent or is empty. Incase you are getting the  parameter's value from the user then it is better to do validation  for mandatory fields on your end rather than passing it to ChargeBee and then handling the error.
resource_not_unique,{0} -resurssi on jo olemassa,{0} resource already exists,{0} resource already exists
duplicate_addon_entry,Lisäosien kaksoiskappaleita ei sallita.,Duplicate addon entry is not allowed.,Duplicate addon entry is not allowed.
filter_param_operator_invalid,Määritetty suodatinoperaattori {0} on virheellinen,The specified filter operator {0} is invalid,The specified filter operator {0} is invalid
