key,value,reference value,description
line_item.coupon.non_discount_all, %{coupon_details} / %{disc_amt} käytetty %{line_items} rivikohdassa.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular, %{coupon_details} / %{disc_amt} käytetty rivikohdassa %{line_items}.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} käytetty rivikohdassa %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Loppusijoitukset lisätty,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Suhteelliset maksut,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} käytetty %{line_items} rivikohdassa - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Määritetyt hyvitykset %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, Vapaa määrä, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} käytetty rivikohtiin %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount} %{unit} yksikölle,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,,Total units - %{unit},Total units
line_item.final_credit_correction.removed,,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Asennusmaksu,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Määritetyt hyvitykset,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Tarjoushyvitykset palautettu,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Tarjoushyvitykset,Promotional Credits,promotional credits given for a line item
cn.discount.text,Tähän laskuun sovelletaan alennuksia tai hyvityksiä,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Palautetut suhteelliset hyvitykset,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Murtoluvun korjaus,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} / %{disc_amt} käytetty rivikohdissa %{line_items}.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,yksikköä,units,units
