key,value,reference value,description
quote.label.quote_amount,Lainausmäärä,Quote Amount,Quote amount label
quote.label.recurring_charges,Toistuvat syytökset,Recurring charges,Recurring charges
quote.label.tax.inclusive,Sisältää,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Yksikköhinta,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Tilaus,Subscription,Subscription sub heading
quote.label.billing_cycle,Laskutusjakso,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Laskutusjaksojen lukumäärä,No of billing cycles,No of billing cycles
quote.term.month,kuukausi,month,month
quote.header.label.sub_total,Välisumma,Sub Total,Sub total
quote.term.months,kuukaudet,months,months
quote.label.quote_date,Lainauspäivä,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Maksullinen kokeilun alkaessa,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Altaan tiedot,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,vuosi,year,year
quote.title.subscription_detail,Tilauksen tiedot,Subscription Details,Subscription Detail section heading
quote.label.include,Mukaan lukien,Includes ,includes
quote.customer_email.request_card,Päivitä maksutavan tiedot,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Sisältää alennukset ja verot,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Lähetetty,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Hinta,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Maksut hyväksymisestä,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Maksullinen suunnitelman aktivoinnista,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Maksu aloitettu,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Proforma-lasku,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Proforma-laskun päivämäärä,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Säädöt,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12. laskutusjakso,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11. laskutusjakso,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10. laskutusjakso,10th billing cycle,10th billing cycle
quote.term.weeks,viikkoa,weeks,weeks
quote.billing_cycle.23,23. laskutusjakso,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22. laskutusjakso,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21. laskutusjakso,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20. laskutusjakso,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Laskutustiheys,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16. laskutusjakso,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15. laskutusjakso,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14. laskutusjakso,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13. laskutusjakso,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19. laskutusjakso,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18. laskutusjakso,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17. laskutusjakso,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30. laskutusjakso,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34. laskutusjakso,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33. laskutusjakso,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32. laskutusjakso,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31. laskutusjakso,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27. laskutusjakso,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26. laskutusjakso,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25. laskutusjakso,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24. laskutusjakso,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29. laskutusjakso,29th billing cycle,29th billing cycle
