key,value,reference value,description
account.first_name.label,Etunimi,First Name,
account.first_name.help,,,
account.last_name.label,Sukunimi,Last Name,
account.last_name.help,,,
account.email.label,Sähköposti,Email,
account.email.help,,,
account.company.label,Yhtiö,Company,
account.company.help,,,
account.phone.label,Puhelin,Phone,
account.phone.help,,,
billing.first_name.label,Etunimi,First Name,
billing.first_name.help,,,
billing.last_name.label,Sukunimi,Last Name,
billing.last_name.help,,,
billing.email.label,Sähköposti,Email,
billing.email.help,,,
billing.phone.label,Puhelin,Phone,
billing.phone.help,,,
billing.company.label,Yhtiö,Company,
billing.company.help,,,
billing.line1.label,Osoiterivi 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Osoiterivi 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Osoiterivi 3,Address Line3,
billing.line3.help,,,
billing.city.label,Kaupunki,City,
billing.city.help,,,
billing.zip.label,Postinumero,Zip,
billing.zip.help,,,
billing.country.label,Maa,Country,
billing.country.help,,,
billing.region.label,Osavaltio,State,
billing.region.help,,,
billing.state_code.label,Osavaltio,State,
billing.state_code.help,,,
tax.vat_number.label,ALV-numero,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Olen rekisteröitynyt GST: hen,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Etunimi,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Sukunimi,Last Name,
shipping.last_name.help,,,
shipping.email.label,Sähköposti,Email,
shipping.email.help,,,
shipping.phone.label,Puhelin,Phone,
shipping.phone.help,,,
shipping.company.label,Yhtiö,Company,
shipping.company.help,,,
shipping.line1.label,Osoiterivi 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Osoiterivi 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Osoiterivi 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Kaupunki,City,
shipping.city.help,,,
shipping.zip.label,Postinumero,Zip,
shipping.zip.help,,,
shipping.country.label,Maa,Country,
shipping.country.help,,,
shipping.region.label,Osavaltio,State,
shipping.region.help,,,
shipping.state_code.label,Osavaltio,State,
shipping.state_code.help,,,
gift.first_name.label,Etunimi,First Name,
gift.first_name.help,,,
gift.last_name.label,Sukunimi,Last Name,
gift.last_name.help,,,
gift.email.label,Sähköposti,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,"Keneltä meidän pitäisi sanoa, että se on kotoisin",Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Päivämäärä,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Aika,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Etunimi,First Name,
card.first_name.help,,,
card.last_name.label,Sukunimi,Last Name,
card.last_name.help,,,
card.number.label,Määrä,Number,
card.number.help,,,
card.expiry.label,Vanheneminen,Expiry,
card.expiry.help,,,
card.expiry_year.label,Vanheneminen,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Osoiterivi 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Osoiterivi 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Kaupunki,City,
card.billing_city.help,,,
card.billing_zip.label,Postinumero,Zip,
card.billing_zip.help,,,
card.billing_country.label,Maa,Country,
card.billing_country.help,,,
card.billing_region.label,Osavaltio,State,
card.billing_region.help,,,
card.billing_state_code.label,Osavaltio,State,
card.billing_state_code.help,,,
