key,value,reference value,description
cbjs_grp.bank,Pankki,Bank,Bank
cbjs_grp.select_bank,Valitse Pankki,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Haetaan luetteloa tuetuista pankeista,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Lisää tilisi tiedot,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Tilin tietojen muokkaaminen,Editing account details,Editing account details
inapp_checkout.customer.update,Päivittää,Update,Update
inapp_checkout.customer.next,Seuraava,Next,Next
inapp_checkout.billing_address.header,Lisää laskutusosoitteesi,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Laskutusosoitteen muokkaaminen,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Päivittää,Update,Update
inapp_checkout.billing_address.next,Seuraava,Next,Next
inapp_checkout.shipping_address.header,Lisää toimitusosoitteesi,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Toimitusosoitteen muokkaaminen,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Päivittää,Update,Update
inapp_checkout.shipping_address.next,Seuraava,Next,Next
inapp_checkout.choose_sa.header,Valitse toimitusosoite,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Lähetän laskutusosoitteeni,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Lisää uusi,Add New,Add New
inapp_checkout.payment_method.choose.add,Lisää maksutapa,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Lisää maksutiedot,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Muokkaustietojen muokkaaminen,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Valitse maksutapa,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Valitse toinen maksutapa,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Päivittää,Update,Update
inapp_checkout.payment_method.next,Seuraava,Next,Next
inapp_checkout.subscription.header,Lisää tilaustiedot,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Lisää ostotiedot,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Tilauksen tietojen muokkaaminen,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Muokataan ostotietoja,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Päivittää,Update,Update
inapp_checkout.invoice.update,Päivittää,Update,Update
inapp_checkout.subscription.next,Seuraava,Next,Next
inapp_checkout.invoice.next,Seuraava,Next,Next
inapp_checkout.review.header,Viimeistele tilauksesi,Complete your order,Complete your order
inapp_checkout.pay_review.header,Viimeistele tilauksesi,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Maksa %{amount} ja tilaa,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Tilaa,Subscribe,Subscribe
inapp_checkout.review.order.header,Tilauksen yhteenveto,Order summary,Order summary
inapp_checkout.review.account.header,Tili,Account,Account
inapp_checkout.review.billing.header,Laskutus,Billing,Billing
inapp_checkout.review.shipping.header,laivaus,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Laskutus ja toimitus,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Tilauksen tiedot,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Ostotiedot,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Maksu,Payment,Payment
inapp_checkout.review.more,Tarkastele tietoja,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Valitse toimitusosoite,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Valitse maksutapa,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Käytä,Apply,Apply
inapp_checkout.coupon.label,Käytä kuponki,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Syötä kupongin koodi,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Muokkaa järjestystä,Edit order,Edit order
inapp_checkout.cart.header,Tilauksesi,Your order,Your order
inapp_checkout.cart.next,Siirry maksamaan,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Poista,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Suositellut lisäosat,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Kortti,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,KIINNI,CLOSE,CLOSE
inapp_checkout.otp.enter,Kirjoita kuusinumeroinen kertasalasanasi,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Syötä salasanasi,Enter your password,Enter your password
inapp_checkout.otp.resend,Lähetä kertakäyttöinen salasana uudelleen,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Kirjaudu kertakäyttöisellä salasanalla,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Anna sen sijaan salasana,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,Uusi kertakäyttöinen salasana lähetetään sähköpostiosoitteeseesi,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,Sinulla on jo tilaus kanssamme,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Jatka vieraana,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,Anna sähköposti jatkaaksesi,Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Seuraava,Next,Next
inapp_checkout.modal_button.confirm,Vahvistaa,Confirm,Confirm
inapp_checkout.modal_button.cancel,Peruuttaa,Cancel,Cancel
inapp_checkout.po_number.label,postinumero,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Takaisin kohtaan Maksu,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Jatka arvosteluun,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Syötä IBAN,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Anna paikallisen pankin tiedot,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Kirjoita nimesi,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Anna yrityksen nimi,Enter company name,Enter company name
inapp_checkout.card.billing_address,Käytä laskutusosoitettani kortin osoitteena,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Käytä lähetysosoitettani kortin osoitteena,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,Katso yksityiskohdat,See Details,See Details
inapp_checkout.item.breakdown.hide,Piilota tiedot,Hide Details,Hide Details
inapp_checkout.cart.trial.info,Sinua veloitetaan %{plan_trial_period} -kokeilun jälkeen.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,Sinua veloitetaan %{plan_trial_period} -kokeilun jälkeen.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Maksa nyt,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Seuraava veloitus %{date},Next charge on %{date},Next charge on %{date}
