key,value,reference value,description
account.first_name.label,Prénom,First Name,
account.first_name.help,,,
account.last_name.label,Nom,Last Name,
account.last_name.help,,,
account.email.label,E-mail,Email,
account.email.help,,,
account.company.label,Société,Company,
account.company.help,,,
account.phone.label,Téléphone,Phone,
account.phone.help,,,
billing.first_name.label,Prénom,First Name,
billing.first_name.help,,,
billing.last_name.label,Nom,Last Name,
billing.last_name.help,,,
billing.email.label,E-mail,Email,
billing.email.help,,,
billing.phone.label,Téléphone,Phone,
billing.phone.help,,,
billing.company.label,Société,Company,
billing.company.help,,,
billing.line1.label,Ligne d’adresse 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Ligne d’adresse 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Ligne d’adresse 3,Address Line3,
billing.line3.help,,,
billing.city.label,Ville,City,
billing.city.help,,,
billing.zip.label,Code postal,Zip,
billing.zip.help,,,
billing.country.label,Pays,Country,
billing.country.help,,,
billing.region.label,État,State,
billing.region.help,,,
billing.state_code.label,État,State,
billing.state_code.help,,,
tax.vat_number.label,Numéro de TVA,VAT Number,
tax.vat_number.help,Saisissez un numéro de TVA,,
tax.registered_for_gst.label,Je suis soumis à la GST (taxe sur les biens et services),I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Prénom,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Nom,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-mail,Email,
shipping.email.help,,,
shipping.phone.label,Téléphone,Phone,
shipping.phone.help,,,
shipping.company.label,Société,Company,
shipping.company.help,,,
shipping.line1.label,Ligne d’adresse 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Ligne d’adresse 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Ligne d’adresse 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Ville,City,
shipping.city.help,,,
shipping.zip.label,Code postal,Zip,
shipping.zip.help,,,
shipping.country.label,Pays,Country,
shipping.country.help,,,
shipping.region.label,État,State,
shipping.region.help,,,
shipping.state_code.label,État,State,
shipping.state_code.help,,,
gift.first_name.label,Prénom,First Name,
gift.first_name.help,,,
gift.last_name.label,Nom de famille,Last Name,
gift.last_name.help,,,
gift.email.label,E-mail,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,Quel nom d’expéditeur devons-nous indiquer ?,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Date,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Heure,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Prénom,First Name,
card.first_name.help,,,
card.last_name.label,Nom,Last Name,
card.last_name.help,,,
card.number.label,Numéro de carte,Number,
card.number.help,,,
card.expiry.label,Expire le,Expiry,
card.expiry.help,,,
card.expiry_year.label,Expire le,Expiry,
card.expiry_year.help,,,
card.cvv.label,CVV,Cvv,
card.cvv.help,(Derniers 3-4 chiffres du numéro de vérification de votre carte au dos de celle-ci),,
card.billing_addr1.label,Ligne d’adresse de la carte 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Ligne d’adresse de la carte 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Ville de la carte,City,
card.billing_city.help,,,
card.billing_zip.label,Code postal de la carte,Zip,
card.billing_zip.help,,,
card.billing_country.label,Pays de la carte,Country,
card.billing_country.help,,,
card.billing_region.label,État de la carte,State,
card.billing_region.help,,,
card.billing_state_code.label,État,State,
card.billing_state_code.help,,,
