key,value,reference value,description
credit_note.label.credit_note,Jóváírás,Credit Note,The title credit note
credit_note.header.label.units,Egységek,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,Visszatérítések,Refunds,Refunds
credit_note.label.sub_total,Részösszeg,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,Ez a Chargebee által generált hiteljegy,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,Visszatérítések és allokációk,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,Kiszállítva,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,Egységár,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,Töredékkorrekció,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Ok kód,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text,%{amount} visszatérítésre került %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,befogadó,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,Dátum,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,kizárólagos,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,Ár,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Teljes,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,Kiosztások,Allocations,Allocations
credit_note.label.round_off,Befejez,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,Visszatérítések,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,Ref számla,Ref Invoice,testing
credit_note.label.due,Rendelkezésre álló mennyiség,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,ÁFA-val,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Számlázva,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Kiosztások,Allocations,Credit note label indicating the allocations
credit_note.label.amount,Összeg,Amount,Label amount
credit_note.header.label.amount,Összeg,Amount,Amount label
credit_note.applied_transaction.text,A (z) %{amount} összeget a (z) '%{invoice_number}' számlához rendelték a következő időpontban: %{dátum}.,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,Ügyfél-azonosító,Customer ID,Label customer id
credit_note.header.label.sub_total,Részösszeg,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Adó,Tax,Tax
credit_note.header.label.discounts,Kedvezmény,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,HÉA kizárólagos,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Leírás,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Feliratkozás,Subscription,The label subscription - All the subscription details follow the label
