key,value,reference value,description
gift_order_confirmed.gift_receiver.email,Címzett e-mail,Recipient email,
contract_is_renewed.contract_term.contract_period,Szerződés időtartama,Contract Period,
subscription_pause_reminder.subscription.resume_date,Folytatás dátuma,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Becsült díj a megújításkor,Estimated charge on renewal,
credit_note_updated.credit_note.id,Hitelszámla száma,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Fizetési mód,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,Szerződés időtartama,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,Fizetés nap,Payment date,
payment_one_time_failures.transaction.amount,Számlázott összeg,Invoiced amount,
subscription_paused.subscription.resume_date,Folytatás dátuma,Resume date,
payments_and_credits_refunded.transaction.date,Visszatérítve,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,Számlázott összeg,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
gift_order_confirmed.gift.scheduled_at,Értesítés itt:,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
gift_cancelled.gift.scheduled_at,Értesítés itt:,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,Becsült töltés az aktiváláskor,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,Fizetés nap,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,Következő megújítás:,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,Túlfizetések,Excess payments,
credit_note_adjustment_created.credit_note.status,Hiteljegy állapota,Credit note status,
contract_is_renewed.contract_term.total_contract_value,A szerződés teljes értéke,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Számlázott összeg,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,Visszatérítve,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,Visszatérítendő kreditek,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
order_shipment_reminder.order.shipping_date,Szállítás dátuma,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Lemondási ok,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,A szerződés teljes értéke,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,Fizetési mód,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Becsült töltés az aktiváláskor,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Folytatás dátuma,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
payment_terms_netd_reminders.invoice.amount,Számlázott összeg,Invoiced amount,
payment_one_time_failures.invoice.due_date,Azóta esedékes,Due since,
welcome_mails_in_future_state.subscription.start_date,Az előfizetés kezdődik,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,Korábbi terhelés megkísérelve,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,Előfizetés összefoglalása,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,A kudarc oka,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,Következő megújítás:,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,Egy vagy több számla ki nem fizetése,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,Számlázott összeg,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,Túlfizetések,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,Fizetési mód,Payment method,
contract_is_terminated.contract_term.total_contract_value,A szerződés teljes értéke,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,Becsült díj a következő megújításkor,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,Számlázott összeg,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,Dátum szüneteltetése,Pause date,
