key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Az IBAN megadásával és a befizetés megerősítésével felhatalmazza %{merchant_name} -t, a hitelezőt és a Stripe-t, fizetési szolgáltatónkat arra, hogy utasításokat küldjön bankjának a számla terhelésére, a bank pedig az Ön számlájának terhelésére az utasításoknak megfelelően. Joga van a bankjának visszatérítésére a bankjával kötött megállapodás feltételei szerint. A visszatérítést 8 héten belül kell igényelni attól a naptól számítva, amikor a számláját megterhelték.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Regisztráltam a GST-re,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Csoportos beszedési megbízás,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Név,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,Felhasználási feltételek.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,"Elfogadom, hogy erre a hatóságra a bankom általános szerződési feltételei vonatkoznak, amelyek a számlámra és a konkrét kezdeményezőre vonatkoznak",I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,visszatérő a SEPA csoportos beszedési megbízáson keresztül,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,"Hiba történt a kérés feldolgozása közben. Válasszon másik fizetési módot, vagy próbálkozzon újra.",An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,Hozzá kell adnia egy fizetési módot az előfizetés frissítéséhez.,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,ÜRES,EMPTY,field empty
hp_v3.portal.ach.setup,Állítsa be az ACH-t,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,Megtakarítás,Saving,Saving
hp_v3.pm.ideal_disclaimer,<li> A fizetés hitelesítésére az iDeal szolgáltatáson keresztül a bankoldalra irányítanak. </li> <li> Ismétlődő fizetéseit a SEPA csoportos beszedési megbízáson keresztül teljesítjük. </li>,<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,iDEAL disclaimer
hp_v3.direct_debit.country,Ország,Country,Country
hp_v3.portal.metered_subscription.desc_without_amount,A felhasználáson alapuló díjak,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.pm.sofort_desc,visszatérő a SEPA csoportos beszedési megbízáson keresztül,recurring via SEPA Direct Debit,Sofort desc
hp_v3.paynow.use_card_future_payments.info,Ezt a fizetési módot használhatja jövőbeli tranzakcióihoz.,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.pm.agreement.gocardless_bacs4,"Ha olyan visszatérítést kap, amelyre nem jogosult, akkor vissza kell fizetnie, amikor %{merchant_name} kéri.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to."
hp_v3.portal.gateway_error,Érvénytelen átjáró-fiók nélkül nem folytatható,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.pm.agreement.gocardless_bacs5,"A csoportos beszedési megbízást bármikor lemondhatja, ha egyszerűen kapcsolatba lép a bankjával vagy az építő társasággal. Írásbeli megerősítésre lehet szükség. Kérjük, értesítse a következőt is: %{merchant_name}.",You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.
hp_v3.pm.agreement.gocardless_bacs2,"Ha bármilyen változás történik a beszedési megbízás összegében, dátumában vagy gyakoriságában, a (z) %{merchant_name} értesíti Önt (általában 3 munkanappal) a számlájának terheléséről vagy más megállapodás alapján. Ha a %{merchant_name} felhasználót kéri a befizetés beszedésére, akkor az összeg és a dátum megerősítését megkapja a kérés időpontjában.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request."
hp_v3.pm.agreement.gocardless_bacs3,"Ha a (z) %{merchant_name} vagy a bankja vagy az épületegyesület fizetése során hibát követnek el a csoportos beszedési megbízása során, akkor jogosult a bankjától vagy az építőipari társaságtól befizetett összeg teljes és azonnali visszatérítésére.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society."
hp_v3.portal.no_account,"Úgy tűnik, hogy nincs fiókja nálunk",Looks like you don’t have an account with us,No account
hp_v3.pm.agreement.gocardless_bacs1,"A garanciát minden olyan bank és épületegyesület felajánlja, amely elfogadja a beszedési megbízás fizetésére vonatkozó utasításokat.",The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.
hp_v3.pm.agreement.gocardless_payment_descriptor,A %{payment_descriptor} megjelenik a bankszámlakivonaton.,%{payment_descriptor} will appear on your bank statement.,%{payment_descriptor} will appear on your bank statement.
hp_v3.paynow.pm.ach,ACH,ACH,ACH
hp_v3.inapp_checkout.card_expiring,lejár,is expiring,card about to expire
