key,value,reference value,description
not_supported_for_moved_out_resource,"A frissítési műveletek nem támogatottak, mivel áthelyeztük ezt az ügyfelet a (z) {0} webhelyre",The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,"Sajnáljuk, a hitelesítés nem sikerült. A _jsapi_key paraméter nem szerepel a kérésben","Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,A (z) {0} azonosítójú {1} erőforrás nem létezik.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,A (z) {0} nem található,{0} not found,When resource is not found.
tos_not_agreed,A fizetéshez kötelező elfogadni a feltételeket.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,A (z) {0} azonosítójú {1} erőforrás már létezik.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,"Sajnáljuk, a hitelesítés nem sikerült. Érvénytelen api kulcs","Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,Sajnos a hitelesítés nem sikerült. Az alap hitelesítési fejléc érvénytelen formátumú,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Ez az api nem engedélyezett ennek az ügyfélnek,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,A (z) {0} erőforrás már jelen van,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,"A művelet nem támogatott olyan ügyfelek számára, akik nem törölt előfizetéssel rendelkeznek.",The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,A (z) {0} már meglévő értéke,The value already present in {0},The value already present in {0}
api_disabled,A webhely nincs engedélyezve,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Sajnáljuk, a böngésző nem támogatja a paramétert.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,A (z) {1} paraméterben hivatkozott {0} nincs megadva,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,"Sajnáljuk, a hitelesítés nem sikerült. Az alap hitelesítés engedélyezési fejléce nem szerepel a kérésben","Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Sajnáljuk, engedélyezze a rendeléskezelési webhely beállítását az API használatához.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Elnézést, elérte az api kérelmek korlátját. Kérjük, próbálkozzon {0} perc után.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Sajnáljuk, a js könyvtárra vonatkozó kéréskorlát elérte. Kérjük, próbálkozzon valamikor.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,"Ez az URL már nem érvényes. Kérjük, forduljon hozzánk segítségért.",This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,"Ennél az erőforrásnál a frissítési műveletek már nem lehetségesek. Kérjük, forduljon hozzánk segítségért.",The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"Sajnáljuk, de az {0} erőforrás {1} már ütemezésre van ütemezve","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"A műveletet nem támogatják azok az ügyfelek, akiknek már be van ütemezve a PII törlése.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
