key,value,reference value,description
minimal.card.page_heading,"Köszönjük, hogy frissítette a fizetési mód részleteit!",Thank you for updating your payment method details!,Thank you for updating your payment method details!
rhapsody.header.title,Félelmetes előfizetési szolgáltatásom,My awesome subscription service,My awesome subscription service
minimal.checkout.page_title,Pénztár,Checkout,Checkout
elegant.checkout.page_heading,Köszönjük hogy feliratkozott!,Thank you for subscribing!,Thank you for subscribing!
inspire.portal.page_title,Ügyfélportál,Customer Portal,Customer Portal
rhapsody.footer.content,Minden jog fenntartva. Copyright © 2015.,All Right Reserved. Copyright &copy; 2015.,All Right Reserved. Copyright &copy; 2015.
minimal.thankyou.page_title,Köszönöm,Thank You,Thank You
elegant.thankyou.page_heading,Sikeresen regisztráltál!,You've successfully signed up!,You've successfully signed up!
elegant.customer_portal.page_title,Ügyfélportál,Customer Portal,Customer Portal
rhapsody.thankyou.page_heading,Sikeresen regisztráltál!,You've successfully signed up!,You've successfully signed up!
elegant.checkout.aside_content,"<h4> Nagyra értékeljük az Ön adatait. </h4> <p> Nem adjuk el és nem terjesztjük az Ön elérhetőségi adatait. Olvassa el adatvédelmi irányelveinket. </p> <hr> <h4> Számlázási kérdések </h4> <p> Ha bármilyen kérdése van, forduljon ügyfélszolgálatunkhoz.</p>",<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
minimal.footer.content,Minden jog fenntartva. Copyright © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.header.title,Félelmetes előfizetési szolgáltatásom,My awesome subscription service,My awesome subscription service
rhapsody.thankyou.content,Fiókadatait elküldtük e-mail címére.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
minimal.header.title,Félelmetes előfizetési szolgáltatásom,My awesome subscription service,My awesome subscription service
minimal.customer_portal.page_title,Ügyfélportál,Customer Portal,Customer Portal
inspire.thankyou.page_title,Köszönöm,Thank You,Thank You
minimal.card.aside_content,"<p> Felhívjuk figyelmét, hogy ez csak a fizetési mód frissítése. </p> <p> A számlázást a meglévő számlázási beállítások szerint végezzük. </p>",<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
minimal.thankyou.content,Fiókadatait elküldtük e-mail címére.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.aside_content,"<p> Felhívjuk figyelmét, hogy ez csak a fizetési mód frissítése. </p> <p> A számlázást a meglévő számlázási beállítások szerint végezzük. </p>",<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
elegant.card.page_heading,"Köszönjük, hogy frissítette a fizetési mód részleteit!",Thank you for updating your payment method details!,Thank you for updating your payment method details!
minimal.card.page_title,Frissítse fizetési módját,Update your payment method,Update your payment method
inspire.thankyou.content,"<div class=""text-center""> <h3> Sikeresen regisztráltál! </h3> <p> A fiókod adatait elküldtük az e-mail címedre. </p> </div>",<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>
minimal.checkout.page_heading,Köszönjük hogy feliratkozott!,Thank you for subscribing!,Thank you for subscribing!
rhapsody.card.page_title,Frissítse fizetési módját,Update your payment method,Update your payment method
rhapsody.checkout.page_title,Pénztár,Checkout,Checkout
rhapsody.thankyou.page_title,Köszönöm,Thank You,Thank You
elegant.checkout.page_title,Pénztár,Checkout,Checkout
elegant.thankyou.content,Fiókadatait elküldtük e-mail címére.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_title,Frissítse fizetési módját,Update your payment method,Update your payment method
rhapsody.customer_portal.page_title,Ügyfélportál,Customer Portal,Customer Portal
minimal.thankyou.page_heading,Sikeresen regisztráltál!,You've successfully signed up!,You've successfully signed up!
elegant.footer.content,Minden jog fenntartva. Copyright © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.thankyou.page_title,Köszönöm,Thank You,Thank You
inspire.card.page_title,Frissítse fizetési módját,Update your payment method,Update your payment method
inspire.header.title,Cégnév,Company Name,Company Name
inspire.checkout.page_title,Pénztár,Checkout,Checkout
minimal.checkout.aside_content,"<h4> Nagyra értékeljük az Ön adatait. </h4> <p> Nem adjuk el és nem terjesztjük az Ön elérhetőségi adatait. Olvassa el adatvédelmi irányelveinket. </p> <hr> <h4> Számlázási kérdések </h4> <p> Ha bármilyen kérdése van, forduljon ügyfélszolgálatunkhoz.</p>",<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
