key,value,reference value,description
sort_param_order_invalid,A megadott rendezési sorrend {0} érvénytelen,The specified sort order {0} is invalid,The specified sort order {0} is invalid
updgrade_api_err_msg,{0},{0},{0}
wrong_value,rossz érték,wrong value,wrong value
found_card_pattern,{0},{0},{0}
upload_error,Hiba történt a fájl feltöltésekor,Error while uploading file,Error while uploading file
ILLEGAL_DOMAIN,A (z) {0} domain nem engedélyezett,{0} domain is not allowed,{0} domain is not allowed
param_fixed_size_error,A méret legyen {0},The size should be of {0},The size should be of {0}
mcp_api_v1_err,"Frissítés szükséges az API 2. verziójára, mivel az MCP engedélyezve van",Upgrade to API V2 is needed as MCP is enabled,Upgrade to API V2 is needed as MCP is enabled
multipart_post,A többrészes nem állítható be a post módszeren kívül,Cannot set multipart for other than post method,Cannot set multipart for other than post method
ILLEGAL_DNS,"A tartomány belső IP-cím tartományra változik, ami nem megengedett.",The domain resolves to internal ip address range which is not allowed.,The domain resolves to internal ip address range which is not allowed.
param_not_supported,{0},{0},{0}
mustache_not_allowed,bajuszcímkék nem engedélyezettek,mustache tags are not allowed,mustache tags are not allowed
param_value_lesser_error,Legalább {0},It should be atleast {0},It should be atleast {0}
param_exceeded_error,"Nem lehet több, mint {0}",It should not be more than {0},It should not be more than {0}
not_an_image,A feltöltött fájl kép lehet.,Uploaded file should be an image.,Uploaded file should be an image.
UNKNOWN_HOST,Nem sikerült feloldani a (z) {0} domaint,Unable to resolve {0} domain ,Unable to resolve {0} domain 
EMPTY_SCHEME,Az URL-nek http: // vagy https: // protokollal kell kezdődnie,URL should start with http:// or https:// protocol,URL should start with http:// or https:// protocol
validate.mul_sub_entry,Az ügyfél {0} már rendelkezik előfizetéssel.,The customer {0} already has a subscription.,The customer {0} already has a subscription.
file_size_limit_exceeded,A feltöltött fájl mérete nem haladhatja meg a következőt: {0},Upload file size cannot exceed {0},Upload file size cannot exceed {0}
invalid_range,"az első érték {0} nem lehet több, mint a második érték {1}",first value {0} should not be more than second value {1},first value {0} should not be more than second value {1}
timestamp_future_only,A Unix időbélyegnek a jövőben kell lennie,Unix timestamp should be in future,Unix timestamp should be in future
param_wrong_value,A paraméterhez megadott {0} érték helytelen,Value {0} specified for this param is incorrect,The returned parameter has incorrect value
timestamp_past_only,A Unix időbélyegnek múltnak kell lennie,Unix timestamp should be in past,Unix timestamp should be in past
param_lesser_error,Legalább {0},It should be atleast {0},It should be atleast {0}
param_invalid,A (z) {0} érték érvénytelen,The value {0} is invalid,The value {0} is invalid
should_be_valid_date,rossz dátumformátum,wrong date format,wrong date format
UNSUPPORTED_SCHEME,A (z) {0} nem támogatott. Csak a http és a https támogatott,{0} is not supported. Only http and https are supported,{0} is not supported. Only http and https are supported
image_scrambled,A feltöltött kép kódolt.,Uploaded image is scrambled.,Uploaded image is scrambled.
charge_not_more_than_zero,A felszámítandó összegnek nullánál nagyobbnak kell lennie,Amount to charge should be more than zero,Amount to charge should be more than zero
param_cannot_exceed,{0},{0},{0}
param_should_not_be_blank,nem lehet üres,cannot be blank,cannot be blank
not_in_allowed_values,nem megengedett értékekben,not in allowed values,not in allowed values
size_limit_exceeded,"A {0} nem lehet hosszabb, mint {1} karakter",{0} should not be more than {1} characters,{0} should not be more than {1} characters
email_cannot_be_empty,Az e-mail mező nem lehet üres,Email field cannot be empty,Email field cannot be empty
email_not_in_allowed_size_range,"Az e-mail azonosító mérete nem lehet nagyobb, mint {0}",Email id size should not be more than {0},Email id size should not be more than {0}
param_size_exceeded_error,"A méret nem lehet nagyobb, mint {0}",The size should not be more than {0},The size should not be more than {0}
param_should_be_blank,üresnek kell lennie,should be blank,should be blank
param_required,nem lehet üres,cannot be blank,The parameter is not sent or is empty. Incase you are getting the  parameter's value from the user then it is better to do validation  for mandatory fields on your end rather than passing it to ChargeBee and then handling the error.
resource_not_unique,A (z) {0} erőforrás már létezik,{0} resource already exists,{0} resource already exists
duplicate_addon_entry,Az addon bejegyzések megismétlése nem megengedett.,Duplicate addon entry is not allowed.,Duplicate addon entry is not allowed.
filter_param_operator_invalid,A megadott szűrőoperátor ({0}) érvénytelen,The specified filter operator {0} is invalid,The specified filter operator {0} is invalid
ILLEGAL_DOMAIN_SUFFIX,A (z) {0} domain utótag nem engedélyezett,{0} domain suffix is not allowed,{0} domain suffix is not allowed
param_invalid_msg,{0},{0},{0}
validate.param_not_unique,A (z) {0} érték már megvan.,The value {0} is already present.,The value {0} is already present.
UNSUPPORTED_PORT," Csak [443, 80, 8443, 8080, 9001] portok engedélyezettek"," Only [443, 80, 8443, 8080, 9001] ports are allowed"," Only [443, 80, 8443, 8080, 9001] ports are allowed"
timestamp_future_only_or_zero,"A Unix időbélyegnek a jövőben kell lennie, vagy nulla, hogy azonnal jelezze",Unix timestamp should be in future or zero to indicate immediate,Unix timestamp should be in future or zero to indicate immediate
params_required,{0},{0},Parameters for the resource is required.
wrong_format_pattern,{0} formátumúnak kell lennie,Should be in {0} format,Should be in {0} format
param_size_lesser_error,A méretnek legalább {0},The size should be atleast {0},The size should be atleast {0}
currency_mismatched,{0},{0},{0}
ip_address_not_supported,Az IP-cím nem támogatott,No support for Ip address,No support for Ip address
should_be_valid_input,érvényes bemenetnek kell lennie,should be a valid input,should be a valid input
no_change_for_i18n,A csomag üres,Pack is empty,Pack is empty
NO_EMPTY_SCHEME,"Adja meg a tartományt protokoll nélkül (http, https)","Provide the domain without the protocol (http, https)","Provide the domain without the protocol (http, https)"
wrong_format,hibás formátum,wrong format,wrong format
emoji_chars_not_allowed,A (z) {0} érték érvénytelen,The value {0} is invalid,The value {0} is invalid
amount_overflow,Feldolgozott összeg {0},Amount that is being processed {0},Amount that is being processed {0}
param_should_not_be_sent,{0},{0},The parameter should not be sent. Should occur only during development phase.
