key,value,reference value,description
page_url_length_exceed,"Sajnáljuk, nem találtuk meg azt az oldalt","Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
should_be_unauth,"Sajnáljuk, az oldal megtekintéséhez ki kell jelentkeznie az aktuális munkamenetből","Sorry, you must be logged out of current session to view this page","Sorry, you must be logged out of current session to view this page"
web.param_not_unique,Várj! Már feliratkozott.,Hold up! You have subscribed already.,Hold up! You have subscribed already.
bad_request_need_refresh,"Sajnáljuk, a kérelem nem megfelelően formázott adatokat tartalmaz","Sorry, the request contains data that are not formatted properly","Sorry, the request contains data that are not formatted properly"
operation_not_supported,{0},{0},{0}
not_authorized_post,Sajnos nincs engedélye erre a műveletre,"Sorry, you don''t have the permission to do this action","Sorry, you don''t have the permission to do this action"
limit_exceeds,Sajnos a (z) {0} megengedett korlátja: {1}.,"Sorry, the allowed limit for {0} is {1}.","Sorry, the allowed limit for {0} is {1}."
user_already_exists,Az e-mail cím már létezik,email already exists,email already exists
hosted_page_null,"A megrendelés URL-je érvénytelen. Kérjük, ellenőrizze az URL-t, és próbálja újra.",The order URL is invalid. Please check the URL and try again.,The order URL is invalid. Please check the URL and try again.
hp_resource_not_found,Ez az URL már nem érvényes.,This URL is no longer valid.,This URL is no longer valid.
update_card_succeeded,Hitelkártyáját már sikeresen frissítettük.,Your credit card has been already updated successfully.,Your credit card has been already updated successfully.
should_be_auth,"Sajnáljuk, ennek az oldalnak a megtekintéséhez be kell jelentkeznie","Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
hosted_page_canceled,Ezt a megrendelést törölték. Kérlek próbáld újra.,This order has been canceled. Please try again.,This order has been canceled. Please try again.
lock_timeout,"Sajnáljuk, átmeneti hiba történt. Kérjük, próbálkozzon újra","Sorry, a temporary error occured. Please retry","Sorry, a temporary error occured. Please retry"
service_unavailable,"Sajnos ez a művelet nem hajtható végre nagy terhelés miatt. Kérjük, próbálja meg néhány perc múlva",Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
cannot_be_empty_or_null,A kulcs értéke nem lehet üres vagy null,Key value cannot be empty or null,Key value cannot be empty or null
update_card_cancelled,Ez az URL már nem érvényes.,This URL is no longer valid.,This URL is no longer valid.
suffix_not_allowed,"A (z) ""{0}"" utótag nem megengedett","""{0}"" suffix is not allowed","""{0}"" suffix is not allowed"
currency_error,Nem lehet lekérni a pénznem adatait,Unable fetch currency info,Unable fetch currency info
not_authorized_get,Sajnos nincs engedélye ennek az oldalnak a megtekintésére,"Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
hosted_page_expired,A megrendelés URL-je lejárt. Kérlek próbáld újra.,Your order URL has expired. Please try again.,Your order URL has expired. Please try again.
session_timeout,"Ön kijelentkezett a portálról. Kérjük, jelentkezzen be újra.",You are logged out of the portal. Please login again.,You are logged out of the portal. Please login again.
hosted_page_succeeded,Megrendelését már sikeresen elküldtük.,Your order has already been submitted successfully.,Your order has already been submitted successfully.
not_ajax_request,Ideiglenes hiba történt. Próbáld újra,A temporary error occurred. Try again,A temporary error occurred. Try again
web.mul_sub_entry,[object Object],Hold up! You have subscribed already,Hold up! You have subscribed already
resource_not_found,"Sajnáljuk, nem találtuk meg ezt az erőforrást","Sorry, we couldn''t find that resource","Sorry, we couldn''t find that resource"
size_exceeds,"Sajnáljuk, a feltöltött fájl mérete nem haladhatja meg a következőt: {0}","Sorry, uploaded file size cannot exceed {0}","Sorry, uploaded file size cannot exceed {0}"
bad_request,"Sajnáljuk, az URL vagy néhány paraméter érvénytelen","Sorry,the URL or the some of the parameters are not valid","Sorry,the URL or the some of the parameters are not valid"
record_not_found,A (z) {0} és {1} {2} nincs jelen.,{0} with {1} {2} is not present.,{0} with {1} {2} is not present.
bad_data,"Sajnáljuk, néhány paraméter hiányzik vagy nincs megfelelően formázva","Sorry, some of the parameters are missing or not formatted properly","Sorry, some of the parameters are missing or not formatted properly"
communication_failure,"Sajnáljuk, nem sikerült kommunikálni a következővel: {0}. Kérjük, próbálja meg egy idő után újra","Sorry, Unable to communicate with {0}. Please retry after some time","Sorry, Unable to communicate with {0}. Please retry after some time"
site_already_exists,webhely már létezik,site already exists,site already exists
invalid_state,{0},{0},{0}
db_lock_error,Nem sikerült lezárni a műveletet,Unable to lock the operation,Unable to lock the operation
invalid_request_refresh_browser,"Kérése érvénytelen. Kérjük, frissítse a böngészőt, és próbálja újra.",Your request is not valid. Please refresh the browser and try again.,Your request is not valid. Please refresh the browser and try again.
round_off_not_supported,A számla összegének lekerekítése nulla tizedes pénznemek esetén nem támogatott,Rounding off of invoice amount is not supported for zero-decimal currencies,Rounding off of invoice amount is not supported for zero-decimal currencies
update_card_null,"A hitelkártya frissítéséhez megadott URL érvénytelen. Kérjük, ellenőrizze az URL-t, és próbálja újra.",The URL entered to update your credit card is invalid. Please check the URL and try again.,The URL entered to update your credit card is invalid. Please check the URL and try again.
hosted_page_failed,"Hiba történt a feldolgozás során. Kérlek, próbáld újra később.",An error occurred during processing. Please try again later.,An error occurred during processing. Please try again later.
not_authorized_ip,Sajnos nincs engedélye ennek az oldalnak a megtekintésére,"Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
code_not_compatible,"Elnézést, valami nem ment jól. Kérjük, próbálja meg egy idő után újra",Sorry something went wrong. Please retry after some time,Sorry something went wrong. Please retry after some time
content_type_is_not_application_json,"Sajnáljuk, a kérés tartalomtípusa ({0}) helytelen. Biztosan alkalmazás / json.","Sorry, the request''s content type ({0}) is wrong. It must be application/json.","Sorry, the request''s content type ({0}) is wrong. It must be application/json."
web.invalid_credential,"Kérjük, ellenőrizze a beküldött hitelesítő adatokat.",Please check the submitted credentials.,Please check the submitted credentials.
update_card_expired,A kért URL lejárt. Kérlek próbáld újra.,Your requested URL has expired. Please try again. ,Your requested URL has expired. Please try again. 
tos_not_selected,A fizetéshez kötelező elfogadni a feltételeket.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
connection_time_out,"Sajnáljuk, a db kommunikációs hiba miatt nem sikerült végrehajtani a műveletet. Kérjük, próbálja meg egy idő után","Sorry, unable to complete the operation due to db communication failure. Please try after some time","Sorry, unable to complete the operation due to db communication failure. Please try after some time"
request_charset_error,"Sajnáljuk, a kérés kódolásának UTF-8-nak kell lennie. {0}","Sorry, the request encoding should be utf-8. It is {0}","Sorry, the request encoding should be utf-8. It is {0}"
csrf_tok_invalid,"A CSRF token (a biztonsághoz használt) érvénytelen. Kérjük, frissítse a böngészőt, és próbálja újra.",The csrf token (used for security) is invalid. Please refresh the browser and try again.,The csrf token (used for security) is invalid. Please refresh the browser and try again.
hosted_page_error,{0},{0},{0}
update_card_failed,"Hiba történt a hitelkártyaadatok feldolgozása során. Kérlek, próbáld újra később.",There was an error processing your credit card information. Please try again later.,There was an error processing your credit card information. Please try again later.
site_not_provided,Sajnos az URL eléréséhez aldomainként kell megadnia webhelyét,"Sorry, you need to provide your site as a subdomain to access this URL","Sorry, you need to provide your site as a subdomain to access this URL"
configuration_failure,{0},{0},{0}
page_not_found,"Sajnáljuk, nem találtuk meg azt az oldalt","Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
content_type_wrong,"Sajnáljuk, a kérés tartalomtípusa nem megfelelő","Sorry, the request''s content type is wrong","Sorry, the request''s content type is wrong"
