key,value,reference value,description
line_item.coupon.non_discount_all,%{coupon_details} / %{disc_amt} %{line_items} sorra alkalmazva.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular, %{coupon_details} / %{disc_amt} alkalmazva a (z) %{line_items} sorra.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} alkalmazva a (z) %{line_items} sorra - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Maradt kreditek hozzáadva,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Időarányos díjak,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} alkalmazva %{line_items} sorokra - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Előre jelzett kreditek a következőhöz: %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, Ingyenes mennyiség, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} alkalmazott sorokhoz %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount} %{unit} egységhez,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,Összes egység - %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,További kreditek eltávolítva,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,<b> %{coupon_details} %{disc_amt} kedvezmény </b> jelentkezett a következőre: %{line_item_desc}.,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Számlanyitási díj,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Arányos kreditek,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Visszatért promóciós kreditek,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Promóciós kreditek,Promotional Credits,promotional credits given for a line item
cn.discount.text,A számlán alkalmazott kedvezmények vagy jóváírások,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Visszatért arányos kreditek,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Töredékkorrekció,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} / %{disc_amt} alkalmazva a (z) %{line_items} sorokra.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,egységek,units,units
