key,value,reference value,description
cbjs_grp.bank,Bank,Bank,Bank
cbjs_grp.select_bank,Válassza a Bank lehetőséget,Select Bank,Select Bank
cbjs_grp.list_supported_bank,A támogatott bankok listájának lekérése,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Adja meg fiókja adatait,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Fiókadatok szerkesztése,Editing account details,Editing account details
inapp_checkout.customer.update,Frissítés,Update,Update
inapp_checkout.customer.next,Következő,Next,Next
inapp_checkout.billing_address.header,Adja meg számlázási címét,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Számlázási cím szerkesztése,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Frissítés,Update,Update
inapp_checkout.billing_address.next,Következő,Next,Next
inapp_checkout.shipping_address.header,Adja meg szállítási címét,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Szállítási cím szerkesztése,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Frissítés,Update,Update
inapp_checkout.shipping_address.next,Következő,Next,Next
inapp_checkout.choose_sa.header,Válassza a Szállítási cím lehetőséget,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Szállítás a számlázási címre,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Új hozzáadása,Add New,Add New
inapp_checkout.payment_method.choose.add,Adja hozzá a fizetési módot,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Adja meg fizetési adatait,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,A fizetési részletek szerkesztése,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Válassz fizetési módot,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Válasszon másik fizetési módot,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Frissítés,Update,Update
inapp_checkout.payment_method.next,Következő,Next,Next
inapp_checkout.subscription.header,Adja meg előfizetésének adatait,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Adja meg a vásárlás adatait,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Az előfizetés részleteinek szerkesztése,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,A vásárlás részleteinek szerkesztése,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Frissítés,Update,Update
inapp_checkout.invoice.update,Frissítés,Update,Update
inapp_checkout.subscription.next,Következő,Next,Next
inapp_checkout.invoice.next,Következő,Next,Next
inapp_checkout.review.header,Teljesítse megrendelését,Complete your order,Complete your order
inapp_checkout.pay_review.header,Teljesítse megrendelését,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Fizessen %{amount} és iratkozzon fel,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Iratkozz fel,Subscribe,Subscribe
inapp_checkout.review.order.header,Megrendelés-összesítő,Order summary,Order summary
inapp_checkout.review.account.header,Számla,Account,Account
inapp_checkout.review.billing.header,Számlázás,Billing,Billing
inapp_checkout.review.shipping.header,Szállítás,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Számlázás és szállítás,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Előfizetés részletei,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Vásárlás részletei,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Fizetés,Payment,Payment
inapp_checkout.review.more,Részletek áttekintése,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Válassza a Szállítási cím lehetőséget,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Válassz fizetési módot,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Alkalmaz,Apply,Apply
inapp_checkout.coupon.label,Kupon felhasználása,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,adja meg a kupon kódot,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Sorrend szerkesztése,Edit order,Edit order
inapp_checkout.cart.header,A rendelését,Your order,Your order
inapp_checkout.cart.next,Tovább a kijelentkezéshez,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Eltávolítás,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Ajánlott kiegészítők,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Kártya,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,BEZÁRÁS,CLOSE,CLOSE
inapp_checkout.otp.enter,Írja be a hatjegyű egyszeri jelszavát,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Írd be a jelszavad,Enter your password,Enter your password
inapp_checkout.otp.resend,Küldje el újra az egyszeri jelszót,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Bejelentkezés egyszeri jelszóval,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Helyette írja be a jelszót,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,Új egyszeri jelszó küldés az e-mail címre,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,Már van előfizetésed nálunk,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Folytassa vendégként,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,Írja be az e-mailt a folytatáshoz,Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Következő,Next,Next
inapp_checkout.modal_button.confirm,megerősít,Confirm,Confirm
inapp_checkout.modal_button.cancel,Megszünteti,Cancel,Cancel
inapp_checkout.po_number.label,PO szám,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Vissza a fizetéshez,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Folytatás a felülvizsgálattal,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Adja meg az IBAN számot,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Adja meg a helyi bank adatait,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Adja meg nevét,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Írja be a vállalat nevét,Enter company name,Enter company name
inapp_checkout.card.billing_address,Használja a számlázási címemet kártya címként,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Használja a szállítási címemet kártya címként,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,Lásd a részleteket,See Details,See Details
inapp_checkout.item.breakdown.hide,Rejtett részletek,Hide Details,Hide Details
inapp_checkout.cart.trial.info,A %{plan_trial_period} próba után megterheljük.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,A %{plan_trial_period} próba után megterheljük.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Fizess most,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Következő terhelés: %{date},Next charge on %{date},Next charge on %{date}
inapp_checkout.order_summary.charge_now.label,Most fizetendő,Chargeable now,Chargeable now
inapp_checkout.order_summary.next_charge.label,Díjak: %{date},Charges on %{date},Charges on %{date}
inapp_checkout.order.edit.link,Sorrend szerkesztése,Edit order,Edit order
inapp_checkout.estimate_display_screen.header,A megrendelés összefoglalója,Your order summary,Your order summary
inapp_checkout.credits_applied.label,Alkalmazott kreditek,Credits applied,Credits applied
inapp_checkout.non_rec_addon.tag,EGYSZER,ONE-TIME,ONE-TIME
inapp_checkout.coupon.description, %{amount} kupon alkalmazva,%{amount} coupon applied,%{amount} coupon applied
inapp_checkout.free_quantity.description, %{units} egység ingyenes,%{units} units free,%{units} units free
inapp_checkout.referral.title,Hívd meg barátaidat,Refer your friends,Refer your friends
inapp_checkout.referral.cb_reward,"Hívja meg ismerőseit, és %{referral_credits} -t adunk Önnek, amikor megvásárolják első előfizetésüket.",Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.
inapp_checkout.referral.custom_reward,"Hívja meg barátait, és mi megjutalmazzuk, amikor megvásárolják első előfizetésüket.",Refer your friends and we will reward you when they purchase their first subscription.,Refer your friends and we will reward you when they purchase their first subscription.
inapp_checkout.referral.friend_discount,Az ismerősöd %{referral_friend_discount} kedvezményt kap.,Your friend will get %{referral_friend_discount} discount.,Your friend will get %{referral_friend_discount} discount.
inapp_checkout.referral.link_label,Az Ön hivatkozási linkje,Your referral link,Your referral link
inapp_checkout.review.threedsWarning.non_trial,"Lehet, hogy 3D-s biztonságos ellenőrzés céljából átirányítja a bankoldalára.",You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
inapp_checkout.review.threedsWarning.trial,"3D-s biztonságos ellenőrzés céljából átirányíthatják a bankszámlájára, amelyért jelképes összeget számolhatnak fel, amelyet automatikusan visszatérítenek.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically."
inapp_checkout.3ds.auth.txt,"Engedélyezem a (z) %{organisation_name} számára, hogy mentse ezt a fizetési módot, és automatikusan felszámolom ezt a fizetési módot, ha előfizetés társul hozzá.",I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.
inapp_checkout.otp_email.subject,Az Ön egyszeri jelszava (OTP),Your One Time Password (OTP),Your One Time Password (OTP)
inapp_checkout.otp_email.salutation,"Szia,","Hi there,","Hi there,"
inapp_checkout.otp_email.otp_line, %{otp} az Ön egyszeri jelszava,%{otp} is your one time password,%{otp} is your one time password
inapp_checkout.otp_email.desc,Az egyszeri jelszó a létrehozásától számított 5 percig érvényes.,The one time password is valid for 5 minutes from the time it is generated.,The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.otp_sms.body, %{otp} az Ön egyszeri jelszava. Az egyszeri jelszó a létrehozásától számított 5 percig érvényes.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.multi_decimal.quantity.error,Adja meg az érvényes mennyiséget,Enter valid quantity,Enter valid quantity
inapp_checkout.qty,Mennyiség,Qty,Qty
inapp_checkout.review.opm.cash.desc,A fizetést készpénzzel hajthatja végre,You can make the payment by cash,You can make the payment by cash
inapp_checkout.review.opm.check.desc,A fizetés átutalásának részleteit a számla részeként találja meg,You can find the payment transfer details as part of the invoice,You can find the payment transfer details as part of the invoice
inapp_checkout.review.opm.bank_transfer.desc,A fizetést a számlán szereplő bankszámlaadatokra teljesítheti,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.ach_credit.desc,A fizetést a számlán szereplő bankszámlaadatokra teljesítheti,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.sepa_credit.desc,A fizetést a számlán szereplő bankszámlaadatokra teljesítheti,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.pm.consent.txt,"Engedélyezem a (z) %{organisation_name} számára, hogy mentse ezt a fizetési módot, és automatikusan felszámítsam ezt a fizetési módot a hozzá kapcsolódó jövőbeni tranzakciókért.",I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.
inapp_checkout.pm.never.save.txt,Fizetési adatait nem menti rendszerünk.,Your payment information will not be saved in our system.,Your payment information will not be saved in our system.
inapp_portal.recommended.addon.tag,AJÁNLOTT,RECOMMENDED,RECOMMENDED
inapp_portal.home.header,Feliratkozások kezelése,Manage Subscriptions,Manage Subscriptions
inapp_portal.locale.label,Területi beállítás,Locale,Locale
inapp_portal.home.footer,Kérdések? Támogatási csapatunk örömmel segít,Questions? Our Support Team would be glad to help,Questions? Our Support Team would be glad to help
inapp_portal.home.account.link_text,Számla információ,Account Information,Account Information
inapp_portal.home.address.link_text,Számlázási és szállítási címek,Billing & Shipping Addresses,Billing & Shipping Addresses
