key,value,reference value,description
credit_note.label.credit_note,Nota kredit,Credit Note,The title credit note
credit_note.header.label.units,Unit,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,Pengembalian uang,Refunds,Refunds
credit_note.label.sub_total,Sub Total,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,Ini adalah contoh catatan kredit yang dibuat oleh Chargebee,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,Pengembalian Dana & Alokasi,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,Dikirim ke,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,Patokan harga,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,Koreksi Pecahan,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Kode alasan,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text, %{amount} dikembalikan pada %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,inklusif,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,Tanggal,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,eksklusif,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,Harga,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Total,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,Alokasi,Allocations,Allocations
credit_note.label.round_off,Membulatkan,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,Pengembalian uang,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,Ref Faktur,Ref Invoice,testing
credit_note.label.due,Jumlah Tersedia,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,termasuk PPN,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Ditagih Ke,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Alokasi,Allocations,Credit note label indicating the allocations
credit_note.label.amount,Jumlah,Amount,Label amount
credit_note.header.label.amount,Jumlah,Amount,Amount label
credit_note.applied_transaction.text, %{amount} telah dialokasikan untuk faktur ' %{invoice_number}' pada %{date}.,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,ID Pelanggan,Customer ID,Label customer id
credit_note.header.label.sub_total,Sub Total,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Pajak,Tax,Tax
credit_note.header.label.discounts,Diskon,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,PPN eksklusif,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Deskripsi,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Berlangganan,Subscription,The label subscription - All the subscription details follow the label
