key,value,reference value,description
sub_details_card.metered_item.footnote,Kuantitas dapat bervariasi berdasarkan penggunaan selama periode penagihan.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,Anda menerima email ini karena Anda membayar langganan dan tagihan pelanggan ini,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Tautan ini akan kedaluwarsa dalam 7 hari.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Unit,Units,
card_offline_pm.instruction.text,Harap pastikan Anda sudah siap dengan jumlah yang tepat pada saat kedatangan agen layanan kami.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Anda dapat mengunduh dan melihat detailnya di sini. Tautan ini akan kedaluwarsa dalam 7 hari.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,Anda menerima email ini karena Anda adalah induk dari pelanggan ini.,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Faktur ini telah dibayar oleh akun orang tua Anda,This invoice was paid by your parent account,
download_attachments_note.link_text,Unduh,Download,
invoice_details_card.download_link.text,Unduh dan lihat semua satu atau lebih faktur,Download and view all invoices,
