key,value,reference value,description
error.column.base_money.numeric,harus berupa angka,should be a number,
error.invalid_expiry_info,info kadaluwarsa tidak valid,invalid expiry info,
error.column.number.allow_negative,tidak boleh negatif,should not be negative,
error.column.email.main, harus menjadi email yang valid, should be a valid email,
error.column.number.range.min_max,harus dalam kisaran %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,tidak boleh melebihi %{max},should not exceed %{max},
error.column.number.range.max,tidak boleh melebihi %{max},should not exceed %{max},
error.column.string.length.min, harus memiliki setidaknya %{min} karakter, should have atleast %{min} characters,
error.atleast_today,Harus setidaknya hari ini,Should be atleast today,
error.column.base_money.range.min,harus minimal %{min},should be atleast %{min},
error.invalid_cvv,CVV tidak valid,invalid CVV,
error.column.base_money.main, format mata uang tidak valid, invalid currency format,
error.column.number.range.min,harus minimal %{min},should be atleast %{min},
error.column.string.length.max, tidak boleh lebih dari %{max} karakter, should not have more than %{max} characters,
error.presence,tidak bisa kosong,cannot be blank,
error.wrong_format,Harus dalam format %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, harus terdiri dari %{min} karakter, should be of %{min} characters,
error.date_format,format tanggal tidak valid,invalid date format,
error.column.string.length.min_max, harus antara %{min} dan %{max} karakter, should be between %{min} and %{max} characters,
error.column.color.main,kode warna hex tidak valid,invalid hex color code,
error.password.format,"Kata sandi Anda harus setidaknya 8 karakter dan berisi bilangan bulat, alfabet, dan karakter khusus","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,nilai desimal tidak diperbolehkan,decimal values are not allowed,
error.column.data.format_spaces, Format tanggal tidak valid, Invalid date format,
error.card_number,nomor kartu kredit tidak valid,invalid credit card number,
error.register_for_gst_should_be_enabled,Ini wajib,This is mandatory,
error.column.uniqueness, %{column_name} sudah ada,%{column_name} already exists,
error.column.base_money.range.min_max,harus dalam kisaran %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,harus berupa angka,should be a number,
error.vat_number_cannot_be_blank,Nomor PPN tidak boleh kosong,VAT Number cannot be empty,
