key,value,reference value,description
hp.portal.mark.backup,Tandai sebagai Cadangan,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} Weeks,%{period} Weeks,2 Weeks
hp.portal.powered_by,Dipersembahkan oleh,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,tidak bisa kosong,cannot be blank,cannot be blank
action_error.post,Ada kesalahan saat mengirim,There were errors while submitting,There were errors while submitting
hp.change_link,Perubahan,Change,Change link
hp.portal.signed_up,Mendaftar pada %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Menampilkan,Showing,Showing invoice label
payment_method.info.card,kartu diakhiri dengan %{last4_digits},card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, Nomor rekening diakhiri dengan %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Pembayaran Aman Penerima Tagihan,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Cadangan,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Siapkan Debit Langsung,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Tandai sebagai Utama,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card, %{card_type} card,%{card_type} card,Visa Card
hp.apple_card_ending,Kartu berakhir ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,Anda telah berhasil memperbarui detail kartu Anda.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,Bayar dengan aman menggunakan informasi di akun Amazon Anda.,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Hapus Cadangan,Remove Backup,Unmarking a payment method as Backup
hp.card_ending,Kartu %{card_type} diakhiri ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,Anda telah berhasil mendaftar ke layanan ini,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,PAJAK (BELUM DIHITUNG),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Mengalihkan ke PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,untuk %{no_of_terms} istilah,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Ada kesalahan saat mengirim,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Masalah saat memproses formulir Anda. Harap verifikasi detail formulir Anda.,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Utama,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,Akun PayPal Express Checkout,PayPal Express Checkout account,PayPal Express Checkout account
