key,value,reference value,description
not_supported_for_moved_out_resource,Operasi pembaruan tidak didukung karena kami telah memindahkan pelanggan ini ke situs {0},The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,"Maaf, otentikasi gagal. Parameter _jsapi_key tidak ada dalam permintaan","Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} sumber daya dengan pengenal {1} ​​tidak ada.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} tidak ditemukan,{0} not found,When resource is not found.
tos_not_agreed,Menyetujui persyaratan adalah wajib untuk menyelesaikan pembayaran.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} sumber daya dengan pengenal {1} ​​sudah ada.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,"Maaf, otentikasi gagal. Kunci api tidak valid","Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,"Maaf, otentikasi gagal. Header otentikasi dasar memiliki format yang tidak valid.","Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Api ini tidak diizinkan untuk pelanggan ini,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} sumber daya sudah ada,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Operasi tidak didukung untuk pelanggan dengan langganan yang tidak dibatalkan.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,Nilai sudah ada di {0},The value already present in {0},The value already present in {0}
api_disabled,Situs tidak diaktifkan,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Maaf, parameter tidak didukung dari browser.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,{0} yang direferensikan dalam parameter {1} tidak ada,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,"Maaf, otentikasi gagal. Header otorisasi untuk otentikasi dasar tidak ada dalam permintaan","Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Maaf, Mohon aktifkan pengaturan situs manajemen pesanan untuk menggunakan API ini.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Maaf, Batas permintaan api telah tercapai. Harap coba setelah {0} menit.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Maaf, Batas permintaan perpustakaan js telah tercapai. Silakan coba beberapa saat lagi.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,URL ini tidak lagi valid. Silakan hubungi kami untuk bantuan.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Operasi pembaruan tidak lagi memungkinkan untuk sumber daya ini. Silakan hubungi kami untuk bantuan.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"Maaf, tetapi {0} sumber daya {1} sudah dijadwalkan untuk dihapus","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,Pengoperasian tidak didukung untuk pelanggan yang telah dijadwalkan untuk PII jelas.,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
