key,value,reference value,description
exceeded_allowed_coupon_code_limit,Hanya {0} kode kupon yang diperbolehkan per set kupon.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,kupon tidak ditemukan atau bukan kupon yang berlaku,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,kupon {0} belum diterapkan pada langganan ini,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Kesalahan saat mengunggah. Kode kupon rangkap ditemukan di baris {0}.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,Kupon {0} sudah ditebus untuk langganan ini,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,Kupon {0} tidak dapat diterapkan karena hanya kupon satu kali yang didukung,Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Tidak dapat menghapus kode kupon yang sudah digunakan,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Format file tidak didukung. Hanya file CSV yang diperbolehkan,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Tidak dapat menghapus Set Kupon yang sudah habis,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Kupon yang lulus {0} telah ditebus {1} kali. Tidak ada lagi penebusan yang diperbolehkan,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,Lebih dari {0} karakter ditemukan pada kode kupon di baris {1},More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Kupon semacam itu tidak ditemukan,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,nama set kupon sudah ada untuk kupon lain.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,Satu atau lebih kupon memiliki lebih dari {0} item yang berlaku. Silakan hubungi support@chargebee.com untuk detail lebih lanjut.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Status langganan tidak valid untuk menerapkan / mengubah kupon,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,Hanya {0} set kupon yang diperbolehkan per kupon.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Tidak dapat mengarsipkan kode kupon yang telah ditebus,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,Kupon ini tidak dapat digunakan untuk langganan ini. Silakan hubungi penjual untuk lebih jelasnya.,This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,Tidak ada kupon semacam itu {0} untuk ditebus,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,Kupon {0} tidak dapat diterapkan karena tidak berlaku untuk item mana pun,Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,Tidak ada kode kupon yang ditemukan di file.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,Kupon yang berlaku {0} telah kedaluwarsa pada {1},Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,Tidak ada kupon yang telah diterapkan pada langganan ini,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,Tidak dapat membaca konten dalam file CSV.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Kode kupon tidak valid,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Kode kupon tidak berlaku untuk kupon ini,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Kode kupon sudah ada. Duplikat tidak diperbolehkan,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
