key,value,reference value,description
invalid_charge_start_and_end,Jangka waktu yang tidak valid berlalu. line_item.date_from harus sebelum line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to
xero_build_inprogress,Integrasi Xero dinonaktifkan sementara untuk pemeliharaan. Ini akan selesai dalam beberapa menit. Silakan coba beberapa saat lagi.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.
invalid_invoice_amount,Jumlah Faktur {0} harus lebih besar dari nol,Invoice Amount {0} should be greater than zero,Invoice Amount {0} should be greater than zero
record_payment_not_supported,{0},{0},{0}
max_size_reached,Melebihi batas maksimum pembayaran kartu untuk pengembalian dana,Exceeded maximum limit of card payments to refund,Exceeded maximum limit of card payments to refund
recurring_addon_not_supported,Addon berulang tidak dapat ditambahkan ke faktur tertunda.,Recurring addon cannot be added to pending invoice.,Recurring addon cannot be added to pending invoice.
hp_product_type_mismatch,"Maaf, kami tidak dapat memproses permintaan Anda. Silakan hubungi penjual / pedagang.","Sorry, we are unable process your request. Please get in touch with the seller/merchant.","Sorry, we are unable process your request. Please get in touch with the seller/merchant."
invalid_payment_amount,{0},{0},{0}
refund_amount_too_big,Jumlah yang ditentukan lebih besar dari batas yang diizinkan '{0}',Specified amount is greater than the allowed limit ''{0}'' ,The refund amount is greater than the invoice amount
invalid_invoice_state,{0},{0},{0}
xero_disabled,Integrasi Xero dinonaktifkan untuk situs Anda. Silakan hubungi support@chargebee.com untuk detail dan bantuan lebih lanjut.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.
no_card_present_for_refund,Tidak dapat memproses permintaan karena metode pembayaran yang digunakan untuk transaksi ini telah dihapus.,Cannot process request as the payment method used for this transaction has been cleared.,Cannot process request as the payment method used for this transaction has been cleared.
insufficient card payments,Operasi tidak dapat dilanjutkan karena pelanggan pembayaran kartu yang berbeda diperlukan untuk pengembalian dana,Operation cannot be proceed since customers different card payments are required to refund,Operation cannot be proceed since customers different card payments are required to refund
invoice_price_type,Semua item baris harus memiliki jenis harga yang sama (Tax Exclusive Sive / Tax Inclusive Sive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).
referenced_line_item_not_found,Item baris tagihan yang direferensikan {0} tidak dilampirkan ke faktur {1},The referenced charge line item {0} is not attached to invoice {1},The referenced charge line item {0} is not attached to invoice {1}
refund_failed,Operasi pengembalian dana gagal. Pesan galat: {0},Refund operation failed. Error message: {0},Refund operation failed. Error message: {0}
operation_failed,{0},{0},{0}
product_type_mismatch,Anda tidak dapat menagih produk digital dan non-digital menggunakan faktur yang sama.,You cannot bill both digital and non-digital products using the same invoice.,You cannot bill both digital and non-digital products using the same invoice.
invoice.operation_not_suppoerted,{0},{0},{0}
address_change_not_supported,Alamat tidak dapat diubah karena mengubah pajak yang berlaku,Address cannot be changed as it changes the applied tax,Address cannot be changed as it changes the applied tax
