key,value,reference value,description
invalid_column,Nilai {1} di kolom ({0}) tidak valid,The value {1} in the column ({0}) is invalid,The value {1} in the column ({0}) is invalid
invalid_column_header,Kolom {0} tidak valid.,The column {0} is invalid.,The column {0} is invalid.
billing_country_needed_to_collect_registered_for_gst_field,Anda perlu menambahkan Negara Penagihan untuk memilih bidang ini.,You need to add a Billing Country to select this field.,You need to add a Billing Country to select this field.
billing_country_needed,Negara penagihan diperlukan untuk memvalidasi nomor PPN.,Billing country needed to validate the VAT number.,Billing country needed to validate the VAT number.
australia_tax_should_be_configured,Anda harus mengaktifkan pajak agar Australia memilih bidang ini,You need to enable tax for Australia to select this field,You need to enable tax for Australia to select this field
tax.could_not_read_the_file,File berisi nilai yang tidak valid,File contains invalid values,File contains invalid values
unable_to_validate_abn,Tidak dapat memproses ABN karena server ABN Lookup sedang tidak bekerja.,Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
no_header_found,Header tidak ada atau tidak diformat dengan benar.,Header are not present or not formatted properly.,Header are not present or not formatted properly.
no_tax_rules_found,File tidak mengandung aturan pajak apa pun,File does not contain any tax rule,File does not contain any tax rule
tax.un_supported_file_format,Format file tidak didukung. Hanya file CSV yang diperbolehkan,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
profile_service_type_error,Profil pajak ini sudah dipetakan ke jenis produk {0}. Anda hanya dapat memetakan satu jenis produk ke sebuah profil.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.,This tax profile is already mapped to the product type {0}. You can map only one product type to a profile.
tax.wrong_format,Nilai untuk ({0}) tidak valid,Value for ({0}) is invalid,Value for ({0}) is invalid
file_not_found,File konfigurasi pajak tidak ditemukan,Tax configuration file not found,Tax configuration file not found
duplicate_column,Kolom ({0}) muncul lebih dari sekali dalam file.,The column ({0}) appears more than once in the file.,The column ({0}) appears more than once in the file.
invalid_GSTIN,Anda harus memasukkan GSTIN yang valid.,You need to enter a valid GSTIN.,You need to enter a valid GSTIN.
invalid_abn_number,Anda harus memasukkan ABN yang valid.,You need to enter a valid ABN.,You need to enter a valid ABN.
eu_vat_not_applicable,Nomor PPN tidak berlaku untuk negara ini,VAT Number not applicable for this country,VAT Number not applicable for this country
zip_wrong_format,tidak dapat mengonfigurasi nilai zip - {0},cannot configure the zip values - {0},cannot configure the zip values - {0}
invalid_zip_code,kode pos / pos tidak valid,invalid zip/postal code,invalid zip/postal code
org_address_not_config,Jenis Harga Pajak Inklusif tidak dapat dikonfigurasi karena tarif pajak pedagang tidak dapat ditentukan,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined,Inclusive Tax Price Type cannot be configured as merchant tax rate could not be determined
registered_for_gst_not_applicable,Opsi ini hanya berlaku untuk Australia.,This option is applicable for Australia only.,This option is applicable for Australia only.
invalid_vat_number,Anda harus memasukkan nomor PPN yang valid.,You need to enter a valid VAT number.,You need to enter a valid VAT number.
unable_to_validate,Tidak dapat memvalidasi nomor PPN karena VIES mengalami periode nonaktif.,Unable to validate VAT number as VIES is experiencing downtime.,Unable to validate VAT number as VIES is experiencing downtime.
us_unsupported_prefix,Karakter pengganti tidak dapat digunakan bersama dengan kode pos ZIP + 4 - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0},Wildcard characters cannot be used along with ZIP+4 postal codes - {0}
