key,value,reference value,description
portal.stripe_acc_status_reason.errored,Transfer terbaru yang dikirim ke rekening bank gagal. Rekening bank tidak dapat digunakan untuk pembayaran di masa mendatang,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments
portal.change_password.reenter_new_password,Sandi tidak cocok,Passwords do not match,Passwords do not match
portal.change_password.new_password_not_same,Kata sandi baru sama dengan kata sandi saat ini,New password is same as the current password,New password is same as the current password
portal.change_password.current_password.incorrect,Kata sandi yang Anda berikan salah,The password you gave is incorrect,The password you gave is incorrect
portal.stripe_acc_status_reason.verification_failed,Max mencoba untuk memverifikasi rekening bank telah dilintasi,Max attempts to verify the bank account has been crossed,Max attempts to verify the bank account has been crossed
portal.account_details.address,Alamat,Address,Address Label
portal.stripe_acc_status_reason.validated,Rekening bank belum diverifikasi,The bank account is not yet verified,The bank account is not yet verified
portal.stripe_acc_status_reason.verified,Rekening bank diverifikasi,The bank account is verified,The bank account is verified
portal.stripe_acc_status_reason.new,Rekening bank belum diverifikasi,The bank account is not yet verified,The bank account is not yet verified
portal.change_password.recently_used,Kata sandi yang baru-baru ini digunakan tidak dapat digunakan kembali,Recently used passwords cannot be reused again,Recently used passwords cannot be reused again
