key,value,reference value,description
quote.label.quote_amount,Jumlah Kutipan,Quote Amount,Quote amount label
quote.label.recurring_charges,Biaya berulang,Recurring charges,Recurring charges
quote.label.tax.inclusive,Inklusif,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Patokan harga,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Berlangganan,Subscription,Subscription sub heading
quote.label.billing_cycle,Siklus Penagihan,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Tidak ada siklus penagihan,No of billing cycles,No of billing cycles
quote.term.month,bulan,month,month
quote.header.label.sub_total,Sub Total,Sub Total,Sub total
quote.term.months,bulan,months,months
quote.label.quote_date,Tanggal Kutipan,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Dikenakan biaya saat percobaan dimulai,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Rincian PPN,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,tahun,year,year
quote.title.subscription_detail,Detail Langganan,Subscription Details,Subscription Detail section heading
quote.label.include,Inclusivedes,Includes ,includes
quote.customer_email.request_card,Perbarui detail metode pembayaran Anda,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Termasuk diskon dan pajak,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Dikirim ke,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Harga,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Tagihan atas penerimaan,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Dikenakan biaya pada aktivasi paket,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Pembayaran Dimulai,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Faktur Proforma,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Tanggal Faktur Proforma,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Penyesuaian,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,Siklus penagihan ke-12,12th billing cycle,12th billing cycle
quote.billing_cycle.11,Siklus penagihan ke-11,11th billing cycle,11th billing cycle
quote.billing_cycle.10,Siklus penagihan ke-10,10th billing cycle,10th billing cycle
quote.term.weeks,minggu,weeks,weeks
quote.billing_cycle.23,Siklus penagihan ke-23,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,Siklus penagihan ke-22,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,Siklus penagihan ke-21,21st billing cycle,21st billing cycle
quote.billing_cycle.20,Siklus penagihan ke-20,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Frekuensi Penagihan,Billing Frequency,Billing Frequency
quote.billing_cycle.16,Siklus penagihan ke-16,16th billing cycle,16th billing cycle
quote.billing_cycle.15,Siklus penagihan ke-15,15th billing cycle,15th billing cycle
quote.billing_cycle.14,Siklus penagihan ke-14,14th billing cycle,14th billing cycle
quote.billing_cycle.13,Siklus penagihan ke-13,13th billing cycle,13th billing cycle
quote.billing_cycle.19,Siklus penagihan ke-19,19th billing cycle,19th billing cycle
quote.billing_cycle.18,Siklus penagihan ke-18,18th billing cycle,18th billing cycle
quote.billing_cycle.17,Siklus penagihan ke-17,17th billing cycle,17th billing cycle
