key,value,reference value,description
cbjs_grp.bank,Bank,Bank,Bank
cbjs_grp.select_bank,Pilih Bank,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Mengambil daftar bank yang didukung,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Tambahkan detail akun Anda,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Mengedit detail akun,Editing account details,Editing account details
inapp_checkout.customer.update,Memperbarui,Update,Update
inapp_checkout.customer.next,Lanjut,Next,Next
inapp_checkout.billing_address.header,Tambahkan alamat penagihan Anda,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Mengedit alamat penagihan,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Memperbarui,Update,Update
inapp_checkout.billing_address.next,Lanjut,Next,Next
inapp_checkout.shipping_address.header,Tambahkan alamat pengiriman Anda,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Mengedit alamat pengiriman,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Memperbarui,Update,Update
inapp_checkout.shipping_address.next,Lanjut,Next,Next
inapp_checkout.choose_sa.header,Pilih Alamat pengiriman,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Kirim ke alamat penagihan saya,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Tambah baru,Add New,Add New
inapp_checkout.payment_method.choose.add,Tambahkan Metode Pembayaran,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Tambahkan detail pembayaran Anda,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Mengedit detail pembayaran,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Pilih metode pembayaran,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Pilih metode pembayaran lain,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Memperbarui,Update,Update
inapp_checkout.payment_method.next,Lanjut,Next,Next
inapp_checkout.subscription.header,Tambahkan detail langganan Anda,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Tambahkan detail pembelian Anda,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Mengedit Detail Langganan,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Mengedit Detail Pembelian,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Memperbarui,Update,Update
inapp_checkout.invoice.update,Memperbarui,Update,Update
inapp_checkout.subscription.next,Lanjut,Next,Next
inapp_checkout.invoice.next,Lanjut,Next,Next
inapp_checkout.review.header,Selesaikan pesanan Anda,Complete your order,Complete your order
inapp_checkout.pay_review.header,Selesaikan pesanan Anda,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Bayar %{amount} & berlangganan,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Langganan,Subscribe,Subscribe
inapp_checkout.review.order.header,Ringkasan pesanan,Order summary,Order summary
inapp_checkout.review.account.header,Akun,Account,Account
