key,value,reference value,description
account.first_name.label,Nome,First Name,
account.first_name.help,,,
account.last_name.label,Cognome,Last Name,
account.last_name.help,,,
account.email.label,E-mail,Email,
account.email.help,,,
account.company.label,Azienda,Company,
account.company.help,,,
account.phone.label,Telefono,Phone,
account.phone.help,,,
billing.first_name.label,Nome,First Name,
billing.first_name.help,,,
billing.last_name.label,Cognome,Last Name,
billing.last_name.help,,,
billing.email.label,E-mail,Email,
billing.email.help,,,
billing.phone.label,Telefono,Phone,
billing.phone.help,,,
billing.company.label,Azienda,Company,
billing.company.help,,,
billing.line1.label,Indirizzo riga 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Indirizzo riga 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Indirizzo riga 3,Address Line3,
billing.line3.help,,,
billing.city.label,Città,City,
billing.city.help,,,
billing.zip.label,Codice postale,Zip,
billing.zip.help,,,
billing.country.label,Paese,Country,
billing.country.help,,,
billing.region.label,Stato,State,
billing.region.help,,,
billing.state_code.label,,State,
billing.state_code.help,,,
tax.vat_number.label,Numero partita IVA,VAT Number,
tax.vat_number.help,Inserire numero partita IVA,,
tax.registered_for_gst.label,Ho fatto richiesta per GST (tassa sul valore aggiunto),I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Nome,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Cognome,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-mail,Email,
shipping.email.help,,,
shipping.phone.label,Telefono,Phone,
shipping.phone.help,,,
shipping.company.label,Azienda,Company,
shipping.company.help,,,
shipping.line1.label,Indirizzo riga 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Indirizzo riga 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Indirizzo riga 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Città,City,
shipping.city.help,,,
shipping.zip.label,Codice postale,Zip,
shipping.zip.help,,,
shipping.country.label,Paese,Country,
shipping.country.help,,,
shipping.region.label,Stato,State,
shipping.region.help,,,
shipping.state_code.label,,State,
shipping.state_code.help,,,
gift.first_name.label,Nome,First Name,
gift.first_name.help,,,
gift.last_name.label,Cognome,Last Name,
gift.last_name.help,,,
gift.email.label,Email,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,Chi dobbiamo indicare come il mittente,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Data,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Ora,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Nome,First Name,
card.first_name.help,,,
card.last_name.label,Cognome,Last Name,
card.last_name.help,,,
card.number.label,Numero carta,Number,
card.number.help,,,
card.expiry.label,Scadenza,Expiry,
card.expiry.help,,,
card.expiry_year.label,,Expiry,
card.expiry_year.help,,,
card.cvv.label,CVV,Cvv,
card.cvv.help,(Le ultime 3-4 cifre del numero di verifica sul retro della carta),,
card.billing_addr1.label,Indirizzo carta riga 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Indirizzo carta riga 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Città indirizzo carta,City,
card.billing_city.help,,,
card.billing_zip.label,Codice postale indirizzo carta,Zip,
card.billing_zip.help,,,
card.billing_country.label,Paese indirizzo carta,Country,
card.billing_country.help,,,
card.billing_region.label,Stato indirizzo carta,State,
card.billing_region.help,,,
card.billing_state_code.label,,State,
card.billing_state_code.help,,,
