key,value,reference value,description
credit_note.label.credit_note,クレジットノート,Credit Note,The title credit note
credit_note.header.label.units,単位,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,払い戻し,Refunds,Refunds
credit_note.label.sub_total,小計,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,これは、Chargebeeによって生成されたサンプルのクレジットノートです。,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,払い戻しと割り当て,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,発送先,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,単価,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,分数補正,Fractional Correction,Fractional Correction
credit_note.label.reason_code,理由コード,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text,％{amount}は％{date}に返金されました,%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,包括的,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,日付,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,排他的,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,価格,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,合計,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,割り当て,Allocations,Allocations
credit_note.label.round_off,四捨五入,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,払い戻し,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,参照請求書,Ref Invoice,testing
credit_note.label.due,利用可能な金額,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,包括的VAT,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,に請求,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,割り当て,Allocations,Credit note label indicating the allocations
credit_note.label.amount,量,Amount,Label amount
credit_note.header.label.amount,量,Amount,Amount label
credit_note.applied_transaction.text,％{amount}は、％{date}の請求書 '％{invoice_number}'に割り当てられました。,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,顧客ID,Customer ID,Label customer id
credit_note.header.label.sub_total,小計,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,税金,Tax,Tax
credit_note.header.label.discounts,ディスカウント,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,VAT独占,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,説明,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,サブスクリプション,Subscription,The label subscription - All the subscription details follow the label
