key,value,reference value,description
gift_order_confirmed.gift_receiver.email,受信者のEメール,Recipient email,
contract_is_renewed.contract_term.contract_period,契約期間,Contract Period,
subscription_pause_reminder.subscription.resume_date,再開日,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,更新時の推定料金,Estimated charge on renewal,
credit_note_updated.credit_note.id,クレジットノート番号,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,支払方法,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,契約期間,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,支払期日,Payment date,
payment_one_time_failures.transaction.amount,請求額,Invoiced amount,
subscription_paused.subscription.resume_date,再開日,Resume date,
payments_and_credits_refunded.transaction.date,に返金,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,請求額,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
gift_order_confirmed.gift.scheduled_at,通知する,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
gift_cancelled.gift.scheduled_at,通知する,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,アクティベーション時の推定料金,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,支払期日,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,次の更新,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,超過支払い,Excess payments,
credit_note_adjustment_created.credit_note.status,貸方票のステータス,Credit note status,
contract_is_renewed.contract_term.total_contract_value,総契約額,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,請求額,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,に返金,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,返金可能なクレジット,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
order_shipment_reminder.order.shipping_date,出荷日,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,キャンセル理由,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,総契約額,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,支払方法,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,アクティベーション時の推定料金,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,再開日,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,サブスクリプションの概要,Subscription summary,
payment_terms_netd_reminders.invoice.amount,請求額,Invoiced amount,
payment_one_time_failures.invoice.due_date,以来,Due since,
