key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,IBANを提供し、この支払いを確認することにより、債権者である%{merchant_name}と、支払いサービスプロバイダーであるStripeが、銀行に口座から引き落とすように指示を送信し、銀行にそれらの指示に従って口座から引き落とすように指示することを許可します。銀行との契約条件に基づいて、銀行からの払い戻しを受ける権利があります。アカウントから引き落とされた日から8週間以内に払い戻しを請求する必要があります。,"By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,GSTに登録しました,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,口座振替の指示,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,名前,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,規約と条件。,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,私は、この権限が私の口座と特定の開始者に関連する私の銀行の利用規約に従うことに同意します,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,SEPA口座振替による定期的な支払い,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,リクエストの処理中にエラーが発生しました。別の支払い方法を選択するか、再試行してください。,An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,サブスクリプションを更新するには、支払い方法を追加する必要があります。,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,空の,EMPTY,field empty
hp_v3.portal.ach.setup,ACHを設定する,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,保存,Saving,Saving
hp_v3.pm.ideal_disclaimer,<li> iDealを介した支払いを認証するために、銀行のページに移動します。</li> <li>定期的な支払いは、SEPA口座振替を介して行われます。</li>,<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,iDEAL disclaimer
hp_v3.direct_debit.country,国,Country,Country
hp_v3.portal.metered_subscription.desc_without_amount,使用量に基づく料金,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.pm.sofort_desc,SEPA口座振替による定期的な支払い,recurring via SEPA Direct Debit,Sofort desc
hp_v3.paynow.use_card_future_payments.info,この支払い方法は、将来の取引に使用できます。,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.pm.agreement.gocardless_bacs4,資格のない払い戻しを受け取った場合は、%{merchant_name}から求められたときに払い戻しを行う必要があります。,"If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to."
hp_v3.portal.gateway_error,有効なゲートウェイアカウントがないと続行できません,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.pm.agreement.gocardless_bacs5,銀行に連絡するか、住宅金融組合に連絡するだけで、いつでも口座振替をキャンセルできます。書面による確認が必要な場合があります。 %{merchant_name}にも通知してください。,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.
hp_v3.pm.agreement.gocardless_bacs2,口座振替の金額、日付、または頻度に変更がある場合、%{merchant_name}は、アカウントから引き落とされる前、または別の方法で合意された場合に、通知します（通常は3営業日）。 %{merchant_name}に支払いの回収をリクエストすると、リクエスト時に金額と日付の確認が送信されます。,"If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request."
