key,value,reference value,description
not_supported_for_moved_out_resource,この顧客をサイト{0}に移動したため、更新操作はサポートされていません,The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,申し訳ありませんが、認証に失敗しました。パラメータ_jsapi_keyがリクエストに存在しません,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,識別子{1}の{0}リソースが存在しません。,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0}が見つかりません,{0} not found,When resource is not found.
tos_not_agreed,チェックアウトを完了するには、条件に同意する必要があります。,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,識別子{1}の{0}リソースはすでに存在します。,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,申し訳ありませんが、認証に失敗しました。無効なAPIキー,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,申し訳ありませんが、認証に失敗しました。基本認証ヘッダーの形式が無効です。,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,このAPIはこの顧客には許可されていません,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0}リソースはすでに存在します,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,サブスクリプションがキャンセルされていないお客様は、この操作をサポートしていません。,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,{0}にすでに存在する値,The value already present in {0},The value already present in {0}
api_disabled,サイトが有効になっていません,The site is not enabled,The site is not enabled
param_not_supported_in_browser,申し訳ありませんが、パラメータはブラウザからサポートされていません。,"Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,パラメータ{1}で参照されている{0}が存在しません,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,申し訳ありませんが、認証に失敗しました。要求に存在しない基本認証の認証ヘッダー,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,申し訳ありませんが、このAPIを使用するには、注文管理サイトの設定を有効にしてください。,"Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,申し訳ありませんが、APIリクエストの制限に達しました。 {0}分後にお試しください。,"Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,申し訳ありませんが、jsライブラリのリクエスト制限に達しました。しばらくしてからお試しください。,"Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,このURLは無効になりました。サポートが必要な場合は、お問い合わせください。,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,このリソースの更新操作はできなくなりました。サポートが必要な場合は、お問い合わせください。,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,申し訳ありませんが、{0}リソース{1}はすでに削除が予定されています,"Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,すでにPIIクリアが予定されているお客様は、この操作はサポートされていません。,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
