key,value,reference value,description
minimal.card.page_heading,お支払い方法の詳細を更新していただきありがとうございます。,Thank you for updating your payment method details!,Thank you for updating your payment method details!
rhapsody.header.title,私の素晴らしいサブスクリプションサービス,My awesome subscription service,My awesome subscription service
minimal.checkout.page_title,チェックアウト,Checkout,Checkout
elegant.checkout.page_heading,登録ありがとうございます！,Thank you for subscribing!,Thank you for subscribing!
inspire.portal.page_title,カスタマーポータル,Customer Portal,Customer Portal
rhapsody.footer.content,無断複写・転載を禁じます。 Copyright©2015。,All Right Reserved. Copyright &copy; 2015.,All Right Reserved. Copyright &copy; 2015.
minimal.thankyou.page_title,ありがとうございました,Thank You,Thank You
elegant.thankyou.page_heading,サインアップに成功しました。,You've successfully signed up!,You've successfully signed up!
elegant.customer_portal.page_title,カスタマーポータル,Customer Portal,Customer Portal
rhapsody.thankyou.page_heading,サインアップに成功しました。,You've successfully signed up!,You've successfully signed up!
elegant.checkout.aside_content,<h4>私たちはあなたのプライバシーを尊重します。</h4> <p>私たちはあなたの連絡先情報を販売または配布しません。プライバシーポリシーをお読みください。</p> <hr> <h4>請求に関するお問い合わせ</h4> <p>ご不明な点がございましたら、お気軽にサポートチームまでお問い合わせください。</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
minimal.footer.content,全著作権所有。 Copyright©2015。,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.header.title,私の素晴らしいサブスクリプションサービス,My awesome subscription service,My awesome subscription service
rhapsody.thankyou.content,あなたのアカウント情報はあなたのメールアドレスに送信されました。,Your account information has been sent to your email address.,Your account information has been sent to your email address.
minimal.header.title,私の素晴らしいサブスクリプションサービス,My awesome subscription service,My awesome subscription service
minimal.customer_portal.page_title,カスタマーポータル,Customer Portal,Customer Portal
inspire.thankyou.page_title,ありがとうございました,Thank You,Thank You
minimal.card.aside_content,<p>これはお支払い方法の更新にすぎないことに注意してください。</p> <p>既存の請求設定に従って請求されます。</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
minimal.thankyou.content,あなたのアカウント情報はあなたのメールアドレスに送信されました。,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.aside_content,<p>これはお支払い方法の更新にすぎないことに注意してください。</p> <p>既存の請求設定に従って請求されます。</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
elegant.card.page_heading,お支払い方法の詳細を更新していただきありがとうございます。,Thank you for updating your payment method details!,Thank you for updating your payment method details!
minimal.card.page_title,お支払い方法を更新する,Update your payment method,Update your payment method
inspire.thankyou.content,"<div class=""text-center""> <h3>正常にサインアップしました！</h3> <p>アカウント情報がメールアドレスに送信されました。</p> </div>",<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>
minimal.checkout.page_heading,登録ありがとうございます！,Thank you for subscribing!,Thank you for subscribing!
rhapsody.card.page_title,お支払い方法を更新する,Update your payment method,Update your payment method
rhapsody.checkout.page_title,チェックアウト,Checkout,Checkout
rhapsody.thankyou.page_title,ありがとうございました,Thank You,Thank You
elegant.checkout.page_title,チェックアウト,Checkout,Checkout
elegant.thankyou.content,あなたのアカウント情報はあなたのメールアドレスに送信されました。,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_title,お支払い方法を更新する,Update your payment method,Update your payment method
rhapsody.customer_portal.page_title,カスタマーポータル,Customer Portal,Customer Portal
minimal.thankyou.page_heading,サインアップに成功しました。,You've successfully signed up!,You've successfully signed up!
elegant.footer.content,全著作権所有。 Copyright©2015。,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.thankyou.page_title,ありがとうございました,Thank You,Thank You
inspire.card.page_title,お支払い方法を更新する,Update your payment method,Update your payment method
inspire.header.title,会社名,Company Name,Company Name
inspire.checkout.page_title,チェックアウト,Checkout,Checkout
minimal.checkout.aside_content,<h4>私たちはあなたのプライバシーを尊重します。</h4> <p>私たちはあなたの連絡先情報を販売または配布しません。プライバシーポリシーをお読みください。</p> <hr> <h4>請求に関するお問い合わせ</h4> <p>ご不明な点がございましたら、お気軽にサポートチームまでお問い合わせください。</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
