key,value,reference value,description
zero_decimal_update_gateway,設定された通貨で{0}ゲートウェイを使用することは許可されていません。,Using {0} gateway with the configured currency is not allowed.,Using {0} gateway with the configured currency is not allowed.
paypal_not_supported,PayPal Express Checkoutを設定しているため、選択した通貨はサポートされていません。,Selected currency is not supported since you have configured PayPal Express Checkout.,Selected currency is not supported since you have configured PayPal Express Checkout.
paypal_setup_error,PayPalへのリダイレクト中にエラーが発生しました。,An error occured while redirecting to PayPal.,An error occured while redirecting to PayPal.
currency_not_supported,Chargebeeで設定された通貨は{0}ではサポートされていません。,Currency configured in Chargebee is not supported by {0}.,Currency configured in Chargebee is not supported by {0}.
invalid_credential_with_message,{0},{0},{0}
gateway_credential_missing,お支払いの処理に問題があります。しばらくしてからお試しください。,Problem in processing your payment. Please try after some time.,Problem in processing your payment. Please try after some time.
gw_credential_verification_failed,{0},{0},{0}
gateway_down_with_message,ゲートウェイに接続しようとしたときに通信障害が発生しました。しばらくしてからお試しください。考えられる理由：{0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0}
wepay_not_supported,wepayゲートウェイは、この操作ではサポートされていません。,wepay gateway is not supported for this operation.,wepay gateway is not supported for this operation.
delete_card_error,お支払い方法の削除中に問題が発生しました。しばらくしてからお試しください。,Problem occurred while deleting the payment method. Please try after some time.,Problem occurred while deleting the payment method. Please try after some time.
gateway_in_active_state,支払いゲートウェイはすでにアクティブな状態にあります,Payment gateway is already in active state,Payment gateway is already in active state
zero_decimal_update_site,Chargebeeは、{0}ゲートウェイで選択された通貨をサポートしていません。,Chargebee doesn''t support the selected currency with {0} gateway.,Chargebee doesn''t support the selected currency with {0} gateway.
default_gateway_not_configured,デフォルトの支払いゲートウェイが構成されていません。,Default payment gateway not configured.,Default payment gateway not configured.
remove_archived_gw_not_supported,支払いゲートウェイはアーカイブされているため、削除できません。,Payment gateway cannot be removed as it is archived.,Payment gateway cannot be removed as it is archived.
bank_account_payment_gateway_not_configured,銀行口座に支払いゲートウェイが構成されていないため、この操作はサポートされていません。,This operation is not supported as there is no payment gateway configured for bank account.,This operation is not supported as there is no payment gateway configured for bank account.
empty_card_type_list,受け入れられるカードタイプを空にすることはできません,Accepted Card types cannot not be empty,Accepted Card types cannot not be empty
default_gateway_not_supported,このゲートウェイでは、デフォルトオプションはサポートされていません。,Default option is not supported for this gateway.,Default option is not supported for this gateway.
gateway_not_supported,{0}を構成しているため、選択した通貨はサポートされていません。,Selected currency is not supported since you have configured {0}.,Selected currency is not supported since you have configured {0}.
payment_gateway_not_configured,支払いゲートウェイが構成されていないため、この操作はサポートされていません。,This operation is not supported as there is no payment gateway configured.,This operation is not supported as there is no payment gateway configured.
gateway_not_supported_for_mcp,Chargebeeは、{0}ゲートウェイの多通貨機能をサポートしていません。,Chargebee doesn''t support multicurrency feature for {0} gateway.,Chargebee doesn''t support multicurrency feature for {0} gateway.
gateway_configuration_failed,{0}。,{0}.,{0}.
forbidden_to_remove,アクティブなサブスクリプションがあるため、ペイメントゲートウェイを削除できません。,Payment gateway cannot be removed as there are active subscriptions.,Payment gateway cannot be removed as there are active subscriptions.
gateway_down,[object Object],Communication failure occurred when trying to contact the gateway. Please try after some time,Communication failure occurred when trying to contact the gateway. Please try after some time
gocardless_redirect_error,GoCardlessへのリダイレクト中にエラーが発生しました。,An error occured while redirecting to GoCardless.,An error occured while redirecting to GoCardless.
invalid_credential,送信された資格情報を確認してください。ゲートウェイにアクセスできません。,Please check the submitted credentials. Not able to access the gateway.,Please check the submitted credentials. Not able to access the gateway.
gateway_already_configured,このゲートウェイは、サイト用にすでに構成されています。考えられる理由：{0},This gateway is already configured for the site. Probable reason: {0},This gateway is already configured for the site. Probable reason: {0}
